"X","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"Tubb2b",400.692506635999,0.864014167752827,0.114788844041715,7.52698726924056,5.19244305815548e-14,3.95664161031448e-10
"Cfi",234.83246273548,1.00123729973998,0.143445987773202,6.97989058657399,2.9541003600664e-12,1.1255122371853e-08
"Mgll",165.946868441234,1.32151420582954,0.19474397566779,6.78590544995288,1.15360686491874e-11,2.93016143689359e-08
"X2210407C18Rik",345.471158125982,0.930351443952623,0.144344961356443,6.44533370067021,1.15346341190573e-10,2.19734779968041e-07
"Cd74",113.546355471558,1.73946306281848,0.274363366017853,6.33999752979156,2.29768846259504e-10,3.50167721699484e-07
"Apoa1",206.521697147164,1.09215506640581,0.173928075977782,6.27934886455783,3.39993917343383e-10,4.31792275026096e-07
"Gsta4",463.228435104935,0.791945028590949,0.133592102339718,5.92808268393796,3.06492170700994e-09,3.33638620105939e-06
"Serpinf2",132.974192171248,1.17639421066289,0.199910888186087,5.88459298709055,3.99034744368391e-09,3.80080594010893e-06
"Plpp1",282.917380493284,0.780452585124238,0.135488225444369,5.7602982293446,8.396544747239e-09,7.10907455266235e-06
"Hsd17b2",285.217373295245,0.722304700363747,0.145227464727053,4.97360951471044,6.57176199442827e-07,0.000493055212858711
"Ctsh",683.867292649449,0.477100698863171,0.0962259895964069,4.95812722596293,7.1175949362806e-07,0.000493055212858711
"Fabp1",691.718218695131,1.94968235535326,0.408909593515494,4.76800345668432,1.86060592344129e-06,0.00101270122404447
"Ceacam1",858.928325487912,-0.377464809501756,0.0789469190075044,-4.78124813795299,1.74210167349217e-06,0.00101270122404447
"Tubb2a",281.128141731566,0.692242126797656,0.144361304307509,4.79520554429936,1.6250811506962e-06,0.00101270122404447
"Bex1",130.298467975897,-0.906331818334232,0.194281720370877,-4.66503908141269,3.08558389390402e-06,0.00155103910970956
"Nptn",171.237417613093,-0.769435956056169,0.165330594305084,-4.65392360857502,3.25677503351089e-06,0.00155103910970956
"Sord",464.318040914752,-0.450605233344768,0.10264244413935,-4.39004777334621,1.13325760980254e-05,0.00479745721483074
"Tceal8",286.928864608625,-0.762076268078248,0.173119105628675,-4.40203445662914,1.07240520242692e-05,0.00479745721483074
"Tmem205",759.149020480914,0.364230303753024,0.0840974421339426,4.33105091559041,1.48399358476393e-05,0.00565401555795057
"Onecut2",397.040453271372,0.555850969599509,0.128125563604626,4.33832994729118,1.43569507712075e-05,0.00565401555795057
"Wnt3",165.907362222862,0.706709388581706,0.165073835627407,4.28117142789873,1.85912068875909e-05,0.00674595221349727
"Ccl6",1586.65733530012,0.346591728090397,0.0811896395264904,4.26891571525344,1.96425467826097e-05,0.00680346393106755
"Cyp2c65",83.7096698755171,1.04323285248603,0.24532877777152,4.25238678463401,2.11504149740272e-05,0.00700722443922119
"Hoxb9",88.1273239229083,-1.1033746541282,0.263522833503645,-4.18701726699876,2.82644330563817e-05,0.00897395749540119
"Gm42418",1338.96007819376,-0.326687219117102,0.0793129760523422,-4.11896306729817,3.80581132953805e-05,0.011600112932432
"Hsd11b2",494.946062895428,-0.494939003596634,0.122178598852841,-4.05094679627787,5.10108062834355e-05,0.0149500901492223
"Lpcat3",349.098404878459,0.484321729530448,0.12030813812889,4.02567720740204,5.6811577682302e-05,0.0160334897014497
"Irgm1",153.797745096913,-0.700659567897997,0.182849330772901,-3.83189571947745,0.000127159639670694,0.0334122915272652
"H2.T23",399.471425837403,-0.513472893131156,0.133704161716253,-3.84036582362223,0.000122851104052702,0.0334122915272652
"Gsta1",318.116862073828,1.1429605364956,0.300153670084778,3.8079179114244,0.000140141774802672,0.0355960107998786
"Glud1",399.812031330174,-0.431041609829409,0.113639255413654,-3.79306964182745,0.00014879640343722,0.036575115941665
"Mlxipl",89.5632106968768,-0.978549659966615,0.258953572011474,-3.7788614088832,0.00015754707264483,0.0375158966735501
"Kit",366.139219859921,-0.431576640134361,0.114715802579283,-3.76213765175104,0.000168467279108049,0.0389006262667677
"Serinc3",1366.03372225283,-0.235981769783562,0.0645173311076295,-3.65764928170837,0.000254539013566208,0.0570466848051324
"Fermt3",57.3105437795689,-1.02160033526106,0.280643745656981,-3.64020346460784,0.000272422686348163,0.0593103105706573
"H2.Ab1",201.925059835281,0.559286257855819,0.155330407915297,3.60062311920795,0.000317455459349076,0.0671947388955544
"Oxct1",397.79045488206,-0.401036983045079,0.111951804589656,-3.58222883958883,0.000340675160424271,0.0701606681738633
"Camk1d",106.296201755988,-0.75097129319717,0.212519815178035,-3.53365305050758,0.000409858712683746,0.0800800869397472
"Tshz2",60.7681585433568,-1.14008799487303,0.322455503111384,-3.53564440325031,0.00040678185392745,0.0800800869397472
"Aars",520.074998041455,0.358316205411531,0.102020526106849,3.51219719290856,0.000444418119283442,0.0846616517234957
"C2cd4b",97.463736584958,-0.765521832129808,0.218432094450144,-3.50462158071068,0.000457256727809717,0.0849828357539034
"Gm15292",46.0516127353735,1.44195793612692,0.413708934041925,3.48544065036022,0.00049132720257271,0.0891407924667631
"Cyp2u1",86.7408754267072,-0.783095988802676,0.225656044317329,-3.47030805743207,0.000519861753615027,0.0921243386638722
"Bex4",59.8237148228463,-0.97004576157656,0.28037152458874,-3.45985835401602,0.000540459605445316,0.0934109764800944
"Asns",440.795655598889,0.415947600083986,0.12041301479916,3.45434088481015,0.000551639624882447,0.0934109764800944
"Fabp6",53.1609921756346,-1.32197943495405,0.384103312215667,-3.44172880813843,0.000578009407661018,0.0957485149212382
"Mfsd4",89.9414892821789,-0.795196877077455,0.231483372123832,-3.43522245153775,0.000592067600215422,0.0959905343327982
"Acadvl",450.397594244013,0.36530118501008,0.106739483250734,3.42236231509551,0.000620795299025407,0.0965400036443593
"Dgat1",293.829748109466,0.494775969483113,0.144504271187875,3.42395394555389,0.000617170792306878,0.0965400036443593
"Alyref2",183.840697715183,-0.62827832029119,0.18407044837323,-3.41324925235833,0.000641932013465744,0.0978304388521793
"Mthfd2",311.107336738431,0.443725255037569,0.130338579514521,3.40440456456053,0.000663084662054641,0.0990726495069876
"Ctnnbip1",630.816994690025,0.299441341474236,0.0883002602421304,3.39117167552089,0.000695944925610451,0.101773295507055
"Ppp1r1b",635.53049437227,-0.33932335671994,0.10019848279246,-3.38651192376612,0.000707872002870593,0.101773295507055
"Myadm",164.190458127364,-0.566599113234451,0.168476078075966,-3.36308346980259,0.000770770548020283,0.108764288442862
"Prap1",470.750435612084,0.447585220222229,0.134083025723147,3.33811992836736,0.000843473354560762,0.1168593993046
"Mettl7b",209.736711404407,0.510460748488141,0.154108047276192,3.31235621702022,0.000925136671060001,0.12588466845495
"Smim24",1189.47604718136,-0.242920039550918,0.0741573789672463,-3.27573658796936,0.00105386803650564,0.140885516459176
"Sdc4",427.35563978647,-0.361877437808878,0.110886665875482,-3.26348921172579,0.0011004937397873,0.143680237314902
"Rps18.ps3",1263.75665244577,-0.222216996343861,0.06825584906706,-3.25564767534482,0.00113134045129844,0.143680237314902
"Hsd17b4",329.00529986684,0.384538974806029,0.11799375319617,3.25897739829256,0.00111814575456551,0.143680237314902
"Hoxb7",57.6316934446973,-0.949090924762211,0.292353406358746,-3.24638230347002,0.00116881765774607,0.14567520334004
"Slc12a2",963.773605843602,-0.268934578332909,0.0829431121216398,-3.24239796956863,0.00118528380670374,0.14567520334004
"Tm4sf5",1428.35409096893,0.234987391830323,0.0726762416957848,3.2333454007426,0.00122349537671819,0.147984678898295
"Snhg18",934.727087887626,-0.248557786008261,0.0777083532726725,-3.19859803406323,0.00138097571200697,0.16442242071083
"Cbx3",626.096520230396,-0.301502619755765,0.0946227986464378,-3.18636337192205,0.00144073519072209,0.164810831489648
"Myl7",127.278400395694,0.630107621012298,0.197855649997167,3.18468348526474,0.00144912410889848,0.164810831489648
"Ly6e",1584.11291664314,0.26228675519075,0.0822562681553079,3.18865371688789,0.00142936991162632,0.164810831489648
"Ptpro",92.4168697347116,0.720946668703056,0.228058469860137,3.1612361038167,0.00157101100380051,0.174516176896349
"Tppp3",170.838569627447,0.576413459496283,0.182436737054281,3.15952515268227,0.00158026459394332,0.174516176896349
"Igf1r",76.7821489674553,-0.749748957229983,0.238173796801357,-3.14790697926898,0.00164444014239419,0.179009055500625
"Mecom",52.877336523867,-0.966374758681778,0.308538499688663,-3.13210429057287,0.00173558212256479,0.186230226519463
"Rnf11",359.51500445992,0.397238720253309,0.126992128856656,3.12805780822603,0.00175965568364847,0.186230226519463
"Jund",1206.73596025351,0.254153350998221,0.0815229392905387,3.11756854217984,0.00182349539535791,0.190342944008593
"Slc35b1",1096.28249621368,0.259674108769534,0.0838107530207866,3.09833880987957,0.001946088030915,0.200394470210437
"Tnfrsf12a",88.5642123530682,0.728068232315419,0.235598913982549,3.09028687784761,0.00199963253546244,0.203162665602984
"Cdkn1b",189.602482153897,-0.476881375660875,0.154966409752765,-3.07732092665562,0.0020887029350614,0.209419952173261
"Slc39a1",337.768508370491,-0.384604107074113,0.125726386677487,-3.05905639411,0.00222035349114195,0.21148867003127
"Guca2b",1863.83102156509,0.191166282681323,0.0624522781547697,3.06099774627233,0.00220600754898386,0.21148867003127
"Acot1",127.222090406445,1.61807779807664,0.528332728003053,3.06261132864609,0.00219414841814132,0.21148867003127
