,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Mrpl15,0.008898039770234137,1.1160264468050831,0.3951471103458594,0.6927705956436512,0.8334853673967187,-6.851916862565659,-0.014070933
Lypla1,0.0011091290753542026,0.7089295919637101,0.050802604022088464,0.9594871826645233,0.9785949117993556,-6.928006335019045,-0.0066066277
Tcea1,-0.016650662526621243,0.5439710900543051,-0.8017073329399719,0.4228042551495962,0.6316950148947832,-6.610842312683862,-0.03990909
Atp6v1h,-0.0033745083936398594,0.21327515349697135,-0.21847644653326553,0.8270770951027702,0.9088443818238819,-6.90563336528346,-0.007143235
Rb1cc1,-0.026515938256849458,0.28762524934594647,-1.5531754311006483,0.12051742092254059,0.2932601223137676,-5.734543450579854,-0.052782293
Pcmtd1,0.02190916599057801,0.3191751830134371,1.2117689861966228,0.22572404009272418,0.43509813396836045,-6.20190468120178,0.023806827
Rrs1,0.046492211719898466,0.4326325349041024,2.3366867430101532,0.01954005235239869,0.08121196045603095,-4.226902192996064,0.06312907
Vcpip1,-0.03609385121776342,0.17781901364406638,-2.5443562174445082,0.011012148150335311,0.0531000694160864,-3.7259209795016726,-0.055496287
Sgk3,-0.009217581505272344,0.053360644008746114,-1.0983260201372467,0.27217595444572873,0.4870053942715711,-6.331687040200598,-0.013629921
Snhg6,-0.0697856758347784,0.6390934738284078,-3.103762857881725,0.0019337730962252968,0.013179535190734188,-2.165739362992676,-0.1061323
Cops5,0.10507482700804782,0.7627817373601579,4.693338743857416,2.8441065346823894e-06,4.533288558145663e-05,3.9338314721331553,0.14233817
Cspp1,-0.012658875593295663,0.318764367453964,-0.7040413092664431,0.4814776002354165,0.6815365167686338,-6.683695591851618,-0.026699446
Arfgef1,-0.024531083455241152,0.6145723412649751,-1.1324420381532825,0.2575654902497222,0.47146764611681863,-6.293995964314527,-0.055625726
Ncoa2,-0.022527977162737592,0.17670781074855435,-1.616419457561461,0.10613940919571771,0.2691752534950675,-5.635320995519128,-0.042829894
Tram1,0.09683798967859128,1.10180383534403,4.052191406228885,5.252060727351302e-05,0.0006213810507450039,1.1766829267138021,0.11825613
Lactb2,0.019900457020313476,0.1507624379336963,1.5163008553522803,0.1295793270010572,0.3072489155983229,-5.7905717667610705,0.021286465
Terf1,0.026674232555864187,0.29169776948439585,1.5149772858597472,0.12991417647341544,0.3075662852507548,-5.792557860933151,0.025715405
Rpl7,-0.01884469846157896,4.140313538967141,-1.7064148227849412,0.0880645027622844,0.23661414840994968,-5.487318697765238,-0.0047439695
Rdh10,0.002037637373486103,0.09918207574207456,0.18873357314932687,0.8503181197952997,0.921805485634744,-6.911634785154461,-0.0015801551
Stau2,0.0175282197379137,0.16332220320878732,1.2826458297905732,0.19974412707673594,0.402680728326436,-6.114357952906946,0.020072611
Ube2w,-0.003861753308505189,0.20335172151504266,-0.26018833296142635,0.7947415578082855,0.8900846418874591,-6.895740071350225,-0.006232866
Tceb1,0.03540981210288036,1.2116665964917868,1.6018773915601605,0.10931865897464817,0.2744475274941878,-5.658485575534028,0.03156621
Tmem70,0.004896753928814899,0.6095805203707771,0.2249387561984908,0.8220466989764199,0.9055928417689597,-6.904213492072962,-0.0041786623
Ly96,0.012829218310377994,0.15515610087590206,0.9567321458385777,0.3388020023131759,0.5558508190202409,-6.475808608313046,0.015918542
Mcm3,0.020721923229289632,0.45561191339425566,0.8724010682697586,0.38310347536051703,0.5973955775110713,-6.552189714880409,0.015581241
Tmem14a,0.022376224583595495,0.20947144355083494,1.4782250807191393,0.139483085317089,0.32207680170726577,-5.847015339400054,0.027136626
Gsta3,-0.021064786595091436,0.050158071382185386,-2.4851005452239026,0.013021364598048129,0.06015371989791592,-3.8731928546132166,-0.035889685
Smap1,0.014096457551792405,0.7707123601255603,0.6340078321705321,0.5261381210803979,0.7148844294271323,-6.730120769972626,-0.015039109
Sdhaf4,-0.03778786917109888,0.4278455093309057,-1.935799977977718,0.05301337327375811,0.16615108833167613,-5.073925226175693,-0.06327035
Fam135a,0.013668122232489699,0.23771890508184723,0.8587076738493087,0.39059039281319796,0.6042140516289757,-6.563958337715121,0.009565675
Lmbrd1,-0.0009379144519040183,0.18211888343322044,-0.06595662476934612,0.9474180330226339,0.9714367836922941,-6.927129578631925,-0.009338443
Phf3,-0.021943456245493636,0.45304363274263976,-1.086443386869074,0.27739557340633303,0.4932730504442269,-6.344544456478662,-0.03964742
Ptp4a1,-0.0018093679219542721,0.6669962256985218,-0.0848740423168463,0.9323688407312867,0.9654949612851279,-6.9257157039790735,-0.010469615
Prim2,0.031996467341393886,0.1634615165890556,2.2902432871922644,0.022096435148060558,0.08882109067177932,-4.333137582642983,0.0381614
Bag2,0.009892503108577325,0.05650339505095803,1.153326182656727,0.24889515619845473,0.46219790231755925,-6.270355119850238,0.0108911935
Zfp451,-0.011145880060606418,0.15855094656315905,-0.8129955491602395,0.41630390622353464,0.6264548237744862,-6.601812983860475,-0.02528676
Dst,-0.01720738461375127,0.053442286751728,-2.0705070451352925,0.038515102231038933,0.1323380065805271,-4.806970364762478,-0.028781231
