,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.1981337,,,4.3938677536718604e-35,3.2202656766661063e-31,,2.1981337
Ubb,0.28362796,,,1.5394301817340452e-11,5.6412419009644086e-08,,0.28362796
Hmgn3,0.69613516,,,3.5943232018949854e-09,6.854421333850543e-06,,0.69613516
Fabp2,0.90203476,,,5.065846442511003e-09,7.425517715432628e-06,,0.90203476
Mtch1,0.50084716,,,2.4125685736044132e-08,2.9469525126577908e-05,,0.50084716
Hsp90aa1,0.43584886,,,2.9037483068629583e-08,3.0402244772855174e-05,,0.43584886
Gnas,0.34056142,,,2.0494156020420405e-07,0.00018775208684207643,,0.34056142
Serpinb1a,0.46828043,,,4.760587109644121e-07,0.0003489034292658176,,0.46828043
Oaz1,0.18112317,,,7.862574517031822e-07,0.00048020673862771856,,0.18112317
Dhrs4,0.630549,,,1.1263213286546682e-06,0.0006349853090546202,,0.630549
Sct,0.7754319,,,4.433367670905521e-06,0.00203075947875416,,0.7754319
Vim,0.50908095,,,6.0597275949038965e-06,0.0026124555025323916,,0.50908095
Chchd2,0.18477292,,,7.609232854057231e-06,0.0030982259770769697,,0.18477292
Tuba4a,0.6092116,,,8.320366483544358e-06,0.0032094718925208734,,0.6092116
Sec61b,0.33026764,,,9.48126626242913e-06,0.003474410021867155,,0.33026764
Tuba1a,0.52286476,,,1.3741402276662593e-05,0.004577760785711825,,0.52286476
Tubb4b,0.43924218,,,1.7062161492121268e-05,0.00543689485111986,,0.43924218
Hras,0.6645393,,,1.8881644007664994e-05,0.005569096716879636,,0.6645393
Vcp,0.478029,,,1.899678236075739e-05,0.005569096716879636,,0.478029
Psmb3,0.3786226,,,2.903328534580518e-05,0.007880924011089117,,0.3786226
Maged1,0.39987004,,,3.543438930060108e-05,0.009274951399432333,,0.39987004
Tpi1,0.3581794,,,4.0829771363216964e-05,0.010318668769690245,,0.3581794
Cdkn1c,0.8363517,,,5.002350360981716e-05,0.01072045581372513,,0.8363517
Ppia,0.15399197,,,5.031406732552219e-05,0.01072045581372513,,0.15399197
Vil1,0.48490292,,,6.749528105782551e-05,0.01336953823980549,,0.48490292
Isyna1,0.623798,,,7.02904894119229e-05,0.013369810625832429,,0.623798
Tpt1,0.13217719,,,9.102037656228275e-05,0.016677208495624256,,0.13217719
Gale,0.62532634,,,0.00010073199528385621,0.017951385216673565,,0.62532634
Dnaja1,0.3551646,,,0.00010329045076285751,0.017951385216673565,,0.3551646
Ybx1,0.35936913,,,0.00010532263123440624,0.017951385216673565,,0.35936913
Srp14,0.37130028,,,0.00011841212432343968,0.019285387981477543,,0.37130028
Olfm1,0.56960374,,,0.00013394075364515023,0.020732061450431397,,0.56960374
Psma3,0.40631342,,,0.00013709925816648587,0.020732061450431397,,0.40631342
Pcbd1,0.29405978,,,0.00013860977091978966,0.020732061450431397,,0.29405978
Cited2,0.3979007,,,0.00014600124805389626,0.021400862939740115,,0.3979007
Mrfap1,0.28514788,,,0.00021911312373468193,0.030117189352794626,,0.28514788
Rap1b,0.369764,,,0.0002219031552805171,0.030117189352794626,,0.369764
Arf1,0.3218108,,,0.0003649236163780927,0.04692149446377265,,0.3218108
Prdx1,0.19348933,,,0.00037493748261278734,0.04732609775175298,,0.19348933
Map2k2,0.39512646,,,0.0003864477741794879,0.04732609775175298,,0.39512646
Hsp90ab1,0.19338845,,,0.0003874424703377239,0.04732609775175298,,0.19338845
Rnpep,0.37449685,,,0.00041628480954351144,0.05001559621548189,,0.37449685
Ly6e,0.5752365,,,0.0004797780976460831,0.05671441415561521,,0.5752365
Nedd8,0.32057962,,,0.0005165978085109888,0.05998429550015893,,0.32057962
Tonsl,0.44750068,,,0.000523808829582504,0.05998429550015893,,0.44750068
Gnai2,0.27581152,,,0.000613377147355477,0.06916063250720447,,0.27581152
Hnrnpk,0.29323015,,,0.0006749259300047607,0.07238952364481219,,0.29323015
Cct8,0.47238976,,,0.0007086829993462495,0.07315405214378398,,0.47238976
Psmb6,0.2666218,,,0.0008383038535376135,0.08379650359396408,,0.2666218
Dbi,0.36354852,,,0.0008511650046383793,0.08379650359396408,,0.36354852
Llph,0.4545005,,,0.0008584469404236786,0.08379650359396408,,0.4545005
Ppp2ca,0.4397133,,,0.000882246287259812,0.08397380570554756,,0.4397133
Gpx2,0.3997042,,,0.0009288776161254177,0.08727876985363059,,0.3997042
Nhp2l1,0.46903098,,,0.0009487343143472771,0.08801612392216701,,0.46903098
Gfra3,0.4180517,,,0.0011330821993047508,0.10005252335788577,,0.4180517
Elf3,0.40389034,,,0.0011666184390267962,0.10076954088413961,,0.40389034
Aplp1,0.28052565,,,0.0012548835348840707,0.10550493931232809,,0.28052565
Ube2e1,0.4282804,,,0.001266807840017038,0.10550493931232809,,0.4282804
Aig1,0.56376195,,,0.0013039798330079832,0.10598064030254085,,0.56376195
Zdhhc3,0.4351014,,,0.0013264511409229992,0.10598064030254085,,0.4351014
Eif5a,0.2860682,,,0.0013303614282758574,0.10598064030254085,,0.2860682
Dnajc8,0.47482368,,,0.0013870475404432244,0.10807935877879019,,0.47482368
Rwdd1,0.3830886,,,0.0014009467981968983,0.10807935877879019,,0.3830886
Nme1,0.2772728,,,0.0014569859856314064,0.11123177384054768,,0.2772728
Akr1c12,0.46389195,,,0.0015027711163614309,0.1135444279568343,,0.46389195
Cct7,0.3970471,,,0.0015266018496546032,0.11416800975631211,,0.3970471
Cyth2,0.51834404,,,0.001558011625729635,0.11534007277749994,,0.51834404
Defa-rs1,1.7082914,,,0.0017532371059510224,0.12849474749515044,,1.7082914
Hint1,0.21583697,,,0.0018347014094711289,0.13313392702984064,,0.21583697
Eif3a,0.35861927,,,0.0019383724404148837,0.13927776093922237,,0.35861927
Krt8,0.2046888,,,0.001970731617769044,0.14022807792844005,,0.2046888
Calr,0.35088584,,,0.002018476377516351,0.14224435933478208,,0.35088584
Pitpna,0.5937194,,,0.002064932156044454,0.1441322644919029,,0.5937194
Arpc5,0.287866,,,0.0021099716455579955,0.1456410460297949,,0.287866
Ppa1,0.43367687,,,0.0021304110954753685,0.1456410460297949,,0.43367687
H3f3a,0.12744233,,,0.0022114967174327723,0.1473459949278617,,0.12744233
Eif4a1,0.28499252,,,0.002348982761325536,0.15509634826806173,,0.28499252
Med21,0.5827384,,,0.002794217641770712,0.179638781548575,,0.5827384
Rrp1,0.3367944,,,0.0028268965582241047,0.1801593467410823,,0.3367944
H2afy,0.3585885,,,0.002992289780669669,0.18744010087630775,,0.3585885
Calm3,0.25613227,,,0.003025410726395795,0.18790877299792186,,0.25613227
Defa26,1.7154325,,,0.0031908411979836688,0.19651827848758244,,1.7154325
Ube2s,0.2897106,,,0.00343668099748639,0.20816062008741942,,0.2897106
Cct3,0.36002848,,,0.003685675148064118,0.21961230211513755,,0.36002848
Actg1,0.13897027,,,0.003747904997078537,0.2196958946319401,,0.13897027
Ndufs5,0.34346834,,,0.0037702151060799525,0.2196958946319401,,0.34346834
Ncln,1.0073043,,,0.0038008325031348403,0.2196958946319401,,1.0073043
Dctn2,0.39924717,,,0.004023715535189575,0.22860318726670073,,0.39924717
Hn1,0.2964129,,,0.004075798952403621,0.22978100401666257,,0.2964129
Cdc42,0.30437392,,,0.004163965879019734,0.23143055801974677,,0.30437392
Snx3,0.3259039,,,0.0042447917640836335,0.23143055801974677,,0.3259039
Mdh1,0.29295236,,,0.004401355837413139,0.23411325866276467,,0.29295236
