,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.336132,,,3.0068071114299107e-16,2.4436321394590882e-12,,2.336132
Fabp2,1.3035578,,,7.950400557720607e-09,3.230645266629769e-05,,1.3035578
Cdkn1c,1.2154078,,,3.5429160295665735e-07,0.0009597759524095847,,1.2154078
Ubb,0.37279233,,,1.3520832884253311e-06,0.0027470952212581665,,0.37279233
Akr7a5,0.7691404,,,6.26596006949667e-06,0.010184691496959887,,0.7691404
Acaa2,1.0473828,,,9.448804190928935e-06,0.012798405276613243,,1.0473828
Myl6,0.41200057,,,1.84540162469926e-05,0.019602736900489057,,0.41200057
Calm1,0.29502034,,,1.929640644812507e-05,0.019602736900489057,,0.29502034
Sct,1.0365098,,,2.382301347257394e-05,0.02151218116573427,,1.0365098
Acadl,0.7277253,,,4.80340003217379e-05,0.039037232061476385,,0.7277253
Phlda1,0.80069464,,,5.612191270344506e-05,0.041463889503718,,0.80069464
Scp2,0.45126197,,,6.323818825036447e-05,0.04282806299255934,,0.45126197
Cd81,0.35473,,,7.021890835089735e-05,0.04369490363898993,,0.35473
Acot1,1.1492174,,,7.527115183288533e-05,0.04369490363898993,,1.1492174
Aamp,0.68077815,,,0.0001227639615970978,0.058688395052918466,,0.68077815
Serpinb1a,0.70843655,,,0.0001390257111554386,0.062447412239129016,,0.70843655
Ppa1,0.7252779,,,0.00015063668046811694,0.062447412239129016,,0.7252779
Ucp2,0.5297118,,,0.0001536788784031722,0.062447412239129016,,0.5297118
Rbp2,0.71175927,,,0.0001995249095264787,0.07370631544189511,,0.71175927
Etfb,0.51487046,,,0.0002588327536266743,0.09145799081408619,,0.51487046
Dad1,0.42531005,,,0.0003228874533239751,0.10933776388183107,,0.42531005
Gstz1,0.732123,,,0.0003665285694143201,0.11915110734520717,,0.732123
Tmigd3,1.0693915,,,0.0004261687148100687,0.12525085315310377,,1.0693915
Eif4e,0.7836632,,,0.00043152748717692946,0.12525085315310377,,0.7836632
Ppp1ca,0.5844277,,,0.0005410778278509032,0.15163239679118243,,0.5844277
Ppia,0.29405195,,,0.0006926723471718245,0.1759171301707943,,0.29405195
Psmc4,0.7399273,,,0.0008494945124700228,0.20305417361305517,,0.7399273
Tpi1,0.36428463,,,0.00089089653499417,0.20686617542564625,,0.36428463
Cd24a,0.38447025,,,0.0011675413280572639,0.25262225952142453,,0.38447025
Lgals2,0.33270252,,,0.0011743543622715765,0.25262225952142453,,0.33270252
Tagln2,0.4589174,,,0.001181204117363619,0.25262225952142453,,0.4589174
Defa3,3.833463,,,0.0012517610802807529,0.26084775126773535,,3.833463
Pdap1,0.45309767,,,0.0013767395783604159,0.2708669377809135,,0.45309767
Chchd2,0.21516351,,,0.0013966497040704853,0.2708669377809135,,0.21516351
Hist1h2bc,0.5483363,,,0.0014127686047485557,0.2708669377809135,,0.5483363
Glrx,0.6017404,,,0.0015746804025736042,0.2908506279935382,,0.6017404
Spcs1,0.41385865,,,0.0017047325177719096,0.3078746927096068,,0.41385865
Slc25a5,0.46118197,,,0.0017535247509010798,0.30980207936028425,,0.46118197
Cdc42,0.49374524,,,0.0019023747902231593,0.32894893447114076,,0.49374524
Eci2,0.51616186,,,0.00196180813766128,0.33215864030777553,,0.51616186
Fxyd6,0.65763533,,,0.0021385918686622806,0.3476067223323671,,0.65763533
Hsp90aa1,0.37409574,,,0.002192586479160832,0.3493951042380408,,0.37409574
Atp5o,0.43120155,,,0.002468222510108301,0.3857546988394262,,0.43120155
