,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.2613668,,,6.888945488915786e-10,5.8101366253515736e-06,,2.2613668
Cdkn1c,1.0418931,,,1.6943390969492824e-05,0.07145027971835123,,1.0418931
Mtch1,0.45960066,,,6.317720975526499e-05,0.12849042080062115,,0.45960066
Gng4,1.028722,,,7.61740697181771e-05,0.12849042080062115,,1.028722
Lgals2,0.33131826,,,9.978831555993787e-05,0.14026910890541933,,0.33131826
Hax1,0.9781768,,,0.0001952172512179722,0.22932070434711443,,0.9781768
Sct,1.0373439,,,0.0002175202317734071,0.22932070434711443,,1.0373439
Chchd2,0.22945714,,,0.0005613452061918562,0.4303986790020105,,0.22945714
Ppia,0.29913184,,,0.0009352209165517346,0.6067425546305638,,0.29913184
Pfn1,0.33126283,,,0.0011494162715724278,0.6669014881440961,,0.33126283
Tmsb4x,0.5097767,,,0.0012576291097873024,0.6669014881440961,,0.5097767
Tpm4,0.6371666,,,0.0015568287262362215,0.7723702045338995,,0.6371666
Pdcd10,0.83455646,,,0.0018017791972008842,0.8083635191631353,,0.83455646
Slc35b1,0.72495705,,,0.002166952104794828,0.8083635191631353,,0.72495705
Srp14,0.46821356,,,0.0022044535144358684,0.8083635191631353,,0.46821356
mt-Nd1,0.19739598,,,0.0024561064152752877,0.84084188800261,,0.19739598
Tuba4a,0.5864778,,,0.0028750990846500572,0.84084188800261,,0.5864778
Erp44,0.73703843,,,0.002891204025619598,0.84084188800261,,0.73703843
Serpinb1a,0.8588809,,,0.0030230380727842674,0.8498767701954171,,0.8588809
Qdpr,0.6572396,,,0.0032132681574816536,0.8742162464580732,,0.6572396
Yipf5,0.89868754,,,0.0033215682017518028,0.8754408191742095,,0.89868754
Lsm4,0.594681,,,0.003957366811897879,0.9730534100196142,,0.594681
Uba2,0.96851313,,,0.0041776183543231205,0.9730534100196142,,0.96851313
Gorasp2,0.8623644,,,0.004268790155409738,0.9730534100196142,,0.8623644
Nme1,0.41934317,,,0.004803268479334175,0.9965984986540876,,0.41934317
Pnkd,0.66841614,,,0.004803268479334175,0.9965984986540876,,0.66841614
Mdh1,0.35547853,,,0.005146869466304008,0.9965984986540876,,0.35547853
Ndufb8,0.60469407,,,0.005229251363536836,0.9965984986540876,,0.60469407
Chmp5,0.36576763,,,0.005312822732251323,0.9965984986540876,,0.36576763
Romo1,0.5863671,,,0.00574904987340223,0.9965984986540876,,0.5863671
Shisa5,0.8324357,,,0.005870707065549833,0.9965984986540876,,0.8324357
Jund,0.51748824,,,0.005901481714428493,0.9965984986540876,,0.51748824
Pebp1,0.31465837,,,0.006152960824105648,0.9965984986540876,,0.31465837
Calr,0.48494864,,,0.006314995291518897,0.9965984986540876,,0.48494864
2810428I15Rik,0.7015932,,,0.006314995291518897,0.9965984986540876,,0.7015932
Ift20,0.5106144,,,0.0063808772738108525,0.9965984986540876,,0.5106144
Psma3,0.352386,,,0.0069663303501450585,0.998571821467822,,0.352386
Cript,0.524753,,,0.007110911017007788,0.998571821467822,,0.524753
Calm1,0.1768869,,,0.007755892431232205,0.998571821467822,,0.1768869
Psmd6,0.51637006,,,0.008077171697813891,0.998571821467822,,0.51637006
Ran,0.32196444,,,0.008242236884939245,0.998571821467822,,0.32196444
Dnajb9,1.3225266,,,0.008283971986816699,0.998571821467822,,1.3225266
Htatsf1,0.8221276,,,0.00866818031712468,0.998571821467822,,0.8221276
Cd164,0.53960156,,,0.00866818031712468,0.998571821467822,,0.53960156
Cfl1,0.29770264,,,0.009022986933968353,0.998571821467822,,0.29770264
Rogdi,0.68134326,,,0.009205207400421906,0.998571821467822,,0.68134326
Ebpl,1.0239705,,,0.009205207400421906,0.998571821467822,,1.0239705
Psma1,0.3350007,,,0.009390705133582864,0.998571821467822,,0.3350007
Commd3,0.5913197,,,0.009723363098535158,0.998571821467822,,0.5913197
Eif4a3,0.6279047,,,0.01006648421613908,0.998571821467822,,0.6279047
Taf10,0.6826234,,,0.010471791953814525,0.998571821467822,,0.6826234
Dnaja2,0.60406196,,,0.011662229001884917,0.998571821467822,,0.60406196
Manf,0.68133444,,,0.012124007449910018,0.998571821467822,,0.68133444
Emc7,0.4634169,,,0.012182854490821036,0.998571821467822,,0.4634169
Rab11a,0.32152694,,,0.012360917055933228,0.998571821467822,,0.32152694
Ddost,0.4561046,,,0.012360917055933228,0.998571821467822,,0.4561046
Anxa6,1.3657153,,,0.01260191810949931,0.998571821467822,,1.3657153
Ptges3,0.45709404,,,0.01260191810949931,0.998571821467822,,0.45709404
