,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Defa24,1.5408138,,,1.1582179236903915e-125,2.035336357301125e-121,,1.5408138
Gm15284,1.7847664,,,1.0596474041408427e-120,9.310591916483515e-117,,1.7847664
Lyz1,2.0478199,,,2.384920394144561e-107,1.3970068695434126e-103,,2.0478199
Fabp1,2.5922005,,,2.649248799751217e-87,1.1638812289507035e-83,,2.5922005
Itln1,1.7318497,,,2.713042890535615e-68,9.535260543076472e-65,,1.7318497
Gm14851,2.0317624,,,4.377919519858795e-67,1.2822196620413103e-63,,2.0317624
AY761184,1.5003444,,,5.4123830250553446e-55,1.358740098561394e-51,,1.5003444
Defa17,1.5512573,,,7.527336482967176e-55,1.6534735501897773e-51,,1.5512573
Gm14850,1.4032216,,,8.357204130746174e-52,1.631790535440028e-48,,1.4032216
Defa20,0.9432026,,,1.0371071658322469e-37,1.8225084225170073e-34,,0.9432026
Acot1,1.3232217,,,3.5305572779499373e-36,5.6402257314012956e-33,,1.3232217
Hmgcs2,1.2651057,,,2.5736166560088495e-24,3.2304403925745365e-21,,1.2651057
Defa21,0.99731386,,,2.353755894123885e-22,2.4330913133787666e-19,,0.99731386
Gm7861,1.5037966,,,3.6181639157491437e-22,3.5323330273033164e-19,,1.5037966
Chchd2,0.21311913,,,9.257263632564867e-22,8.561994411319073e-19,,0.21311913
Defa22,0.8940187,,,9.093579645158536e-20,7.609594052589093e-17,,0.8940187
Mtch1,0.7092576,,,2.7555581891230374e-17,1.8624393868253512e-14,,0.7092576
Hsp90aa1,0.5353095,,,7.93283497699572e-15,4.1001090897278166e-12,,0.5353095
Clps,1.1208849,,,8.737656842445112e-15,4.382919648080339e-12,,1.1208849
H3f3b,0.23742446,,,8.978837269156788e-15,4.382919648080339e-12,,0.23742446
Ubb,0.3108182,,,1.854517479322248e-14,8.807955584899962e-12,,0.3108182
Gnb2l1,0.12989728,,,4.4242989332204184e-14,1.9935437218841643e-11,,0.12989728
Acaa2,0.4445423,,,9.097986973807536e-14,3.995375510684816e-11,,0.4445423
Tubb2b,0.8840657,,,1.4307724305041246e-13,5.595254645158188e-11,,0.8840657
Tpt1,0.1320256,,,1.4328029308149914e-13,5.595254645158188e-11,,0.1320256
Tm4sf4,0.7324754,,,1.8824575026604207e-12,6.891755352969079e-10,,0.7324754
Dnaja1,0.5157656,,,5.307418012301209e-12,1.8287697398072381e-09,,0.5157656
Hn1,0.41803727,,,7.636588827089694e-12,2.439959553789949e-09,,0.41803727
Jund,0.48751363,,,1.0278618082758814e-11,3.1688799222512394e-09,,0.48751363
Gm15308,0.695644,,,1.994576825629874e-11,6.043223889102375e-09,,0.695644
Zg16,0.51257855,,,2.1129030027702913e-11,6.2932278758783615e-09,,0.51257855
Mrfap1,0.36388573,,,4.5151610596309805e-11,1.2797568596918583e-08,,0.36388573
Eef1b2,0.13528866,,,7.818511587651654e-11,2.1467922520281642e-08,,0.13528866
