,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.1444488,,,4.3517365692824405e-73,3.301227361457659e-69,,2.1444488
Fabp2,1.016501,,,1.419999605784932e-23,5.386058504742247e-20,,1.016501
Ubb,0.24033442,,,6.388163337904648e-16,1.6153535693781552e-12,,0.24033442
Cdkn1c,0.96746397,,,1.004512343001854e-14,1.5240461268024127e-11,,0.96746397
Chchd2,0.18086027,,,2.0777850738198016e-12,2.251725367142431e-09,,0.18086027
Sct,0.83128405,,,3.856846735323605e-12,3.250893259351652e-09,,0.83128405
Gnas,0.26491696,,,2.2059481771814516e-11,1.673432287209849e-08,,0.26491696
Tpi1,0.34712932,,,3.4698019595107525e-11,2.1934931387373808e-08,,0.34712932
Ppa1,0.5456685,,,1.4550179253883542e-10,7.358510654664037e-08,,0.5456685
Ppia,0.17550406,,,2.0517184785574718e-10,9.155491987257047e-08,,0.17550406
Mtch1,0.38132766,,,2.8911427776469e-10,1.1691969563531252e-07,,0.38132766
Hsp90aa1,0.3291603,,,4.5921839055373565e-10,1.6284002271291446e-07,,0.3291603
Tuba4a,0.5106734,,,4.722489453841442e-10,1.6284002271291446e-07,,0.5106734
Tuba1a,0.42564103,,,2.0427361804386765e-08,5.343516091313034e-06,,0.42564103
Vcp,0.37387112,,,3.54750906662658e-08,8.68109799336427e-06,,0.37387112
Hras,0.4849105,,,6.935672836910295e-08,1.594364064872773e-05,,0.4849105
Rpl10,0.116015896,,,1.238758920006286e-07,2.7638897550493193e-05,,0.116015896
Serpinb1a,0.40348938,,,1.3795011873630273e-07,2.9899702878102648e-05,,0.40348938
Mdh1,0.30379167,,,1.4910647685954777e-07,3.057085766098728e-05,,0.30379167
Defa-rs1,1.6897658,,,1.755247856244259e-07,3.50402900986025e-05,,1.6897658
Ly6e,0.47444886,,,2.6052360103992457e-07,5.067518044843251e-05,,0.47444886
Tubb4b,0.36446244,,,2.830895475264838e-07,5.368793268839765e-05,,0.36446244
Prdx1,0.2074986,,,3.277185863278229e-07,6.063593160689914e-05,,0.2074986
Calm3,0.27209163,,,9.770223545327711e-07,0.00016470425736634671,,0.27209163
Mdh2,0.2787267,,,1.2402898522995607e-06,0.0002045399743379232,,0.2787267
Gng4,0.6081483,,,1.4757377975429156e-06,0.0002332280610866783,,0.6081483
Defa26,1.6374316,,,1.533079392665579e-06,0.00023734571985226699,,1.6374316
Taldo1,0.25342652,,,1.7552202844508462e-06,0.00026108041329106117,,0.25342652
Olfm1,0.41442072,,,2.4416008842328776e-06,0.0003561920059190502,,0.41442072
Dhrs4,0.4459962,,,2.596232096827209e-06,0.0003647225312320594,,0.4459962
Pitpna,0.5380777,,,3.360505955007278e-06,0.0004472420732400914,,0.5380777
Pcbd1,0.21573676,,,3.6681411328354186e-06,0.00047976756264981875,,0.21573676
Dnaja1,0.30517283,,,4.293741790437486e-06,0.0005424577222761023,,0.30517283
Psma4,0.3263429,,,4.361972193361751e-06,0.0005424577222761023,,0.3263429
Oaz1,0.11437539,,,4.9440162081569365e-06,0.0006017254010165739,,0.11437539
Hmgn3,0.40663922,,,5.08872431647919e-06,0.0006031728541376739,,0.40663922
Gsto1,0.4756625,,,7.784390200717278e-06,0.0008947330918582012,,0.4756625
Akr7a5,0.37339672,,,8.277432262025138e-06,0.0009372030020854134,,0.37339672
Defa3,1.6141019,,,8.886074462678859e-06,0.0009913200128512034,,1.6141019
Tfg,0.4016406,,,1.1010937272758781e-05,0.0011764643683260297,,0.4016406
Sec61b,0.21070279,,,1.4224608630867349e-05,0.0014387717476501295,,0.21070279
Pomp,0.23969392,,,1.6873714378521398e-05,0.0016623895750060172,,0.23969392
Acot1,0.87432086,,,1.9641491757063476e-05,0.0019102609803728658,,0.87432086
Acadl,0.45977584,,,2.100798969869119e-05,0.0020172988589148276,,0.45977584
Cmas,0.36769253,,,2.152834374223498e-05,0.002041425195357432,,0.36769253
Cdc42,0.2828004,,,2.4975228581932398e-05,0.0023390380743523354,,0.2828004
H2-K1,0.2511955,,,2.5677420563135514e-05,0.0023754745413651955,,0.2511955
Tnfrsf12a,0.6018944,,,2.7757598970165484e-05,0.0024772840680902983,,0.6018944
Dnajb9,0.7352829,,,2.850117781165203e-05,0.0024885993696382135,,0.7352829
Psmb5,0.26822996,,,2.8540488420580616e-05,0.0024885993696382135,,0.26822996
Mrfap1,0.2038684,,,3.069930814615376e-05,0.0026166848494013754,,0.2038684
Dad1,0.21076551,,,3.9045014353497594e-05,0.0032058487574755912,,0.21076551
Aamp,0.30128077,,,3.9301863227686525e-05,0.0032058487574755912,,0.30128077
Gale,0.42841613,,,5.054299514385117e-05,0.0040109170101546255,,0.42841613
Dbi,0.25605837,,,5.075771592075455e-05,0.0040109170101546255,,0.25605837
Espn,0.8454934,,,5.7069746504741966e-05,0.004463207185412088,,0.8454934
Gfra3,0.33010864,,,5.8271023593355464e-05,0.004467309248400673,,0.33010864
Ppp1ca,0.24902435,,,5.98526249602815e-05,0.004467309248400673,,0.24902435
Calr,0.27287632,,,6.0104638260183806e-05,0.004467309248400673,,0.27287632
Hist1h2bc,0.3046089,,,6.059828724694271e-05,0.004467309248400673,,0.3046089
Hsp90ab1,0.1593975,,,6.533216004064632e-05,0.004720093010174695,,0.1593975
Srp14,0.24006417,,,6.620049796295026e-05,0.004737707335348497,,0.24006417
Manf,0.3020169,,,6.777620461849696e-05,0.004805142880709514,,0.3020169
Eif5a,0.202033,,,7.004497775119095e-05,0.0049200111224123565,,0.202033
Maged1,0.28332618,,,7.502898514145626e-05,0.0051742716480280655,,0.28332618
Sdf2l1,0.45335904,,,7.842765385980651e-05,0.0053120730551829655,,0.45335904
Calm1,0.11290013,,,0.00010537338669643546,0.0068910561334410295,,0.11290013
Hspa5,0.27427888,,,0.00011190649857408556,0.007194260154093331,,0.27427888
Pdap1,0.24486454,,,0.00011466436985603,0.007309612686788601,,0.24486454
Pdia6,0.2870096,,,0.00011653842893831503,0.007367171016050483,,0.2870096
Psmb6,0.18556671,,,0.00012504243322934873,0.00775795079375285,,0.18556671
Psma1,0.28161842,,,0.00012578802367935678,0.00775795079375285,,0.28161842
Psmb3,0.22922507,,,0.00013584127687001876,0.00831041876077389,,0.22922507
Gnai2,0.25954643,,,0.00014732832813572712,0.008800257458563984,,0.25954643
Lgals2,0.17691807,,,0.0001710195494955044,0.010135580488069501,,0.17691807
Psma3,0.24961479,,,0.00017630101275682735,0.010367592889715444,,0.24961479
Eif4e,0.32398334,,,0.00021995373369633922,0.012653660822352272,,0.32398334
Serpinf2,0.43136853,,,0.00023015229081591417,0.013127332918267105,,0.43136853
Slc25a4,0.23997883,,,0.00023252041973664817,0.013163432120315021,,0.23997883
Nme1,0.19479083,,,0.0002399097189857981,0.01348114909797233,,0.19479083
Cct7,0.26584488,,,0.0002766146403699898,0.015428805248788459,,0.26584488
Ndufs5,0.25848088,,,0.00030709615889667406,0.0166402247242155,,0.25848088
Cfi,0.96179235,,,0.00034453329033673876,0.01840584183446831,,0.96179235
Atp5b,0.17750143,,,0.0003632207404900774,0.01913467039831755,,0.17750143
Map2k2,0.26456696,,,0.0003709577534754734,0.019389778983093357,,0.26456696
Psmc5,0.2848764,,,0.0003912894006664224,0.020192662540513474,,0.2848764
Tonsl,0.29910547,,,0.0004037918198899096,0.02069705909246523,,0.29910547
Tspan1,0.30142915,,,0.00043408837720445187,0.02180791012896008,,0.30142915
Surf4,0.35416767,,,0.0004856629727130592,0.024045332084047587,,0.35416767
Ybx1,0.19405441,,,0.00048613717694954056,0.024045332084047587,,0.19405441
Phyh,0.27185172,,,0.0004975514787581117,0.0243511323732841,,0.27185172
Jund,0.25806227,,,0.0005111009900071752,0.02469561853627026,,0.25806227
Nr4a2,0.49196076,,,0.0005198190224519987,0.02494103602911095,,0.49196076
Etfa,0.30878457,,,0.0005227556984746429,0.02494103602911095,,0.30878457
Ndufa8,0.20205894,,,0.0005409125404238127,0.02564601582284402,,0.20205894
Rwdd1,0.25507894,,,0.0005450146669376893,0.025680007847138583,,0.25507894
Lrrc42,0.38002795,,,0.0005520228149781209,0.025849660953234724,,0.38002795
Eif4a1,0.20869055,,,0.0005723377397910509,0.026520138241372865,,0.20869055
Tmem160,0.30148697,,,0.0005891340085208466,0.02698501715009189,,0.30148697
Dnajc21,0.46998173,,,0.0005904973433845576,0.02698501715009189,,0.46998173
Upp1,0.4486972,,,0.0006007007822628746,0.027286922959557886,,0.4486972
Cct8,0.28611562,,,0.0006202907684881687,0.02800908196280505,,0.28611562
Arpc5,0.19773108,,,0.0006461396038626784,0.028926990714705916,,0.19773108
Actg1,0.11344334,,,0.0006482452440680208,0.028926990714705916,,0.11344334
Ten1,0.24283859,,,0.0006641786984902516,0.02946467606284824,,0.24283859
Slc25a5,0.14999732,,,0.0007054179968807929,0.030932375285188992,,0.14999732
Sfr1,0.26465037,,,0.0007121571707648319,0.03102982427668187,,0.26465037
H2afz,0.15878953,,,0.0007158211505957458,0.03102982427668187,,0.15878953
Taf10,0.2891613,,,0.0007457697223861942,0.03196276335605463,,0.2891613
Hint1,0.15140313,,,0.0007855829029993554,0.03347995450647814,,0.15140313
Psmc3,0.2924014,,,0.0007936288949070172,0.03363390389253985,,0.2924014
Ppp2ca,0.26261136,,,0.0008326675759316493,0.03494438215675483,,0.26261136
Rogdi,0.313289,,,0.0008484574135295059,0.035364823840850726,,0.313289
Dctn2,0.28033146,,,0.0008545300255892351,0.03542330477661168,,0.28033146
Rpn1,0.2638877,,,0.0009069509717605994,0.03718989227986977,,0.2638877
Pcbp1,0.20169963,,,0.000974582371117014,0.03974828960910574,,0.20169963
Slc35b1,0.32232577,,,0.0009811224386701446,0.039801041816854094,,0.32232577
Cd24a,0.29310668,,,0.0010402984688918575,0.04160446890134651,,0.29310668
Ctsh,0.4790926,,,0.0010420312537906455,0.04160446890134651,,0.4790926
Scp2,0.20034976,,,0.0011242739164000627,0.04465309910895746,,0.20034976
Arf1,0.21175997,,,0.001160777272222542,0.045862793682709395,,0.21175997
Bud31,0.21992815,,,0.0012357373578645665,0.04807335177825949,,0.21992815
Gmds,0.22732729,,,0.0012520774833067888,0.04821451669220964,,0.22732729
Hmgcs2,1.3747982,,,0.0012598627986485293,0.04826928884115022,,1.3747982
Sox4,0.2904253,,,0.0012952173026718448,0.049351448493894,,0.2904253
Scarb1,0.5621888,,,0.0013011191271788559,0.049351448493894,,0.5621888
Scgn,0.40798563,,,0.0013184947970258515,0.04976169915541348,,0.40798563
Akr1c19,0.29906532,,,0.0013307607418572894,0.0499759949887594,,0.29906532
Cd81,0.16105475,,,0.0013744010067008763,0.05136062087109777,,0.16105475
Capzb,0.2291039,,,0.001417308556615564,0.05270442505140033,,0.2291039
Sh3bgrl3,0.21846259,,,0.001451211418277977,0.05370190155637431,,0.21846259
Atp5f1,0.17634016,,,0.0015041450631716224,0.05512292004454071,,0.17634016
Map1b,0.20683669,,,0.0015201774645091676,0.055442626181569934,,0.20683669
Tmem238,0.2843711,,,0.0015460460787173446,0.056116294512678355,,0.2843711
Fabp5,0.4347417,,,0.0015941470581666485,0.05755008763456328,,0.4347417
Psmd6,0.2759698,,,0.0016007208661867718,0.05755008763456328,,0.2759698
Eif4a3,0.3175099,,,0.0017215605475633324,0.06131341931368751,,0.3175099
Gpx2,0.23813264,,,0.0017524312765611675,0.062063304790427154,,0.23813264
Nhp2l1,0.25549766,,,0.0017589784510864538,0.062063304790427154,,0.25549766
Fdps,0.3165396,,,0.0018205340835174277,0.06393783128501485,,0.3165396
Erh,0.21276489,,,0.0018504120040425606,0.06460760608546119,,0.21276489
Arpc1b,0.22154056,,,0.0018566382977366913,0.06460760608546119,,0.22154056
