,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,3.4831717,,,0.0,0.0,,3.4831717
Hmgcs2,2.1241436,,,0.0,0.0,,2.1241436
Acot1,2.2967956,,,0.0,0.0,,2.2967956
Fabp2,1.1244975,,,0.0,0.0,,1.1244975
Dhrs4,0.7562838,,,4.0444480111590715e-307,7.031677312201161e-304,,0.7562838
Hsp90aa1,0.80085284,,,8.586074053284295e-280,1.243979029086673e-276,,0.80085284
Scd2,1.8011158,,,1.0391683016053938e-277,1.290498577979384e-274,,1.8011158
Ech1,0.8215814,,,3.5270164555258113e-264,3.8325442559857348e-261,,0.8215814
Nme1,0.4476842,,,8.244796796634797e-255,7.167201855314629e-252,,0.4476842
Acaa2,0.7252373,,,1.2584749018927718e-221,6.837451451346165e-219,,0.7252373
Creb3l3,2.8464472,,,5.440019383352584e-201,2.627227138860223e-198,,2.8464472
Etfb,0.5952847,,,5.125128137198988e-199,2.344880994561621e-196,,0.5952847
Acadvl,0.84408116,,,9.360971563421386e-199,4.068746290041105e-196,,0.84408116
Acadl,1.0557426,,,1.413576027686923e-190,5.5855529130374646e-188,,1.0557426
Hspe1,0.25446033,,,3.7962171742965464e-176,1.3750214956733284e-173,,0.25446033
Gpx2,0.486455,,,1.3043080803199456e-171,4.5215323703764066e-169,,0.486455
mt-Nd1,0.256809,,,1.352350645689481e-171,4.5215323703764066e-169,,0.256809
Ran,0.35689685,,,1.786204810088951e-170,5.545528005036875e-168,,0.35689685
Nhp2,0.44874513,,,6.168128012286884e-161,1.8489495452003407e-158,,0.44874513
Ckb,0.9256829,,,3.74780827172997e-158,1.0859899102049545e-155,,0.9256829
Mif,0.39391482,,,1.8014126365819982e-155,5.05150969348623e-153,,0.39391482
Hadhb,0.67367864,,,3.933163930763186e-155,1.0684685640663867e-152,,0.67367864
Eif5a,0.31712034,,,2.8422511873915857e-154,7.487178658180319e-152,,0.31712034
Ranbp1,0.44931903,,,1.1326275356180838e-152,2.8131231906080005e-150,,0.44931903
Hspd1,0.3826736,,,5.329946955412947e-147,1.2522494292812095e-144,,0.3826736
Erh,0.30070874,,,1.91340404267404e-144,4.1583053357413574e-142,,0.30070874
Retsat,1.1138449,,,7.578833271237127e-144,1.6068975030942522e-141,,1.1138449
Tomm5,0.3762802,,,3.4757431650164056e-140,7.193960793687527e-138,,0.3762802
Fkbp4,0.3969859,,,1.1287166679374045e-137,2.28184511497206e-135,,0.3969859
Lrrc59,0.64390916,,,1.0104421277059561e-127,1.9095159600321472e-125,,0.64390916
Chchd2,0.18724215,,,2.9537393655345473e-125,5.3493450634566295e-123,,0.18724215
Tubb4b,0.81378394,,,1.339181266763191e-120,2.282647598425965e-118,,0.81378394
Mrpl20,0.4325841,,,8.83205109821231e-115,1.395945821759266e-112,,0.4325841
Me1,2.2848766,,,3.220819266380102e-114,4.99974676475754e-112,,2.2848766
Cycs,0.36252928,,,1.649849727876047e-110,2.5161655586713116e-108,,0.36252928
Eci2,0.64961314,,,3.952639708211639e-109,5.726716163913963e-107,,0.64961314
Set,0.33990937,,,1.0370588310966876e-107,1.4540568417295977e-105,,0.33990937
Phb2,0.30115622,,,1.9448872925144292e-107,2.6836357514012592e-105,,0.30115622
Calr,0.41148698,,,1.1261347940926805e-105,1.483256025007223e-103,,0.41148698
Psma3,0.4395195,,,3.8553904766704795e-105,4.928663149073012e-103,,0.4395195
Cacybp,0.5338563,,,3.740145115262489e-104,4.5793072516868754e-102,,0.5338563
Aldh9a1,0.60575706,,,2.7986261895025377e-100,3.2437943287127413e-98,,0.60575706
Lyar,0.55522555,,,4.596216866992486e-100,5.257225424311274e-98,,0.55522555
Tmem238,0.424097,,,1.2485917211144025e-99,1.3915394655958334e-97,,0.424097
Ptpn6,1.549505,,,6.7439010433212505e-99,7.328091471198953e-97,,1.549505
Mpc2,0.34927303,,,1.5590370995567418e-98,1.652769452005702e-96,,0.34927303
Nudc,0.4811926,,,3.333730731952665e-98,3.4915808738390985e-96,,0.4811926
Eif5,0.33945307,,,6.068214340564323e-98,6.279879436014959e-96,,0.33945307
C1qbp,0.33496547,,,6.689234686249955e-98,6.84111966206716e-96,,0.33496547
Pop5,0.45222592,,,2.3160476333089873e-92,2.1884132691690247e-90,,0.45222592
Tomm40,0.46215066,,,1.0069690876419039e-91,9.412454063302228e-90,,0.46215066
Ahsa1,0.49850568,,,3.2480562527980427e-91,3.0037609580397216e-89,,0.49850568
Taf10,0.47100237,,,2.9844665249912094e-90,2.702496614765478e-88,,0.47100237
Hadha,0.47712278,,,4.678913451622016e-89,4.19317470463404e-87,,0.47712278
Odc1,0.47721434,,,1.913970286343073e-88,1.680620575674781e-86,,0.47721434
Map2k2,0.41492558,,,7.609253245759465e-88,6.549231531226438e-86,,0.41492558
Psmb6,0.34947678,,,1.1334690247580398e-87,9.66004532570749e-86,,0.34947678
Ppp1r14b,0.42471126,,,8.239401096944986e-87,6.953894537450753e-85,,0.42471126
Cst6,1.1497387,,,9.746865174110607e-87,8.14706720755226e-85,,1.1497387
Tmem147,0.38174185,,,2.087989158131542e-86,1.7286561668226185e-84,,0.38174185
1110008F13Rik,0.31703344,,,8.273723263627905e-86,6.721820217824055e-84,,0.31703344
Tuba4a,0.62633926,,,4.6488465666898375e-85,3.741891037429144e-83,,0.62633926
Hsdl2,1.055844,,,3.129315135565822e-82,2.38624004153278e-80,,1.055844
Akr1b8,2.0134625,,,1.190588699916535e-81,8.922230662391758e-80,,2.0134625
Ucp2,0.3350091,,,1.036805408301029e-80,7.638092724034614e-79,,0.3350091
Mrto4,0.55974036,,,3.69416851087689e-80,2.698605618912001e-78,,0.55974036
mt-Nd2,0.19186492,,,6.035870490015922e-79,4.336348939645323e-77,,0.19186492
Pgp,0.41937184,,,8.360735059021793e-79,5.908932509599711e-77,,0.41937184
Hsd17b11,0.7695661,,,6.281578807438057e-78,4.4036906913757284e-76,,0.7695661
Gale,0.6113332,,,1.6701469947865565e-77,1.1522688750539313e-75,,0.6113332
Angptl4,1.5623945,,,5.113422156684655e-77,3.4727327193796646e-75,,1.5623945
Srm,0.7528849,,,5.230420944377575e-77,3.524654982129788e-75,,0.7528849
Abcd3,0.6307526,,,6.898175994299026e-77,4.612757224495496e-75,,0.6307526
Ppa1,0.38739982,,,8.446858553536628e-76,5.520942962849166e-74,,0.38739982
Mrpl12,0.26149893,,,1.1003156659494582e-75,7.138092600073613e-74,,0.26149893
Tomm22,0.26644245,,,5.275514672810142e-75,3.3474488358203325e-73,,0.26644245
Hras,0.5122728,,,7.107238298948206e-75,4.47704511106933e-73,,0.5122728
Timm9,0.48378462,,,8.486715174482124e-75,5.307555036818209e-73,,0.48378462
Hspa5,0.46632046,,,1.1465564925222968e-74,7.119296849640233e-73,,0.46632046
Hsp90b1,0.41629088,,,2.555835928594301e-74,1.5757362927142028e-72,,0.41629088
Cct7,0.42078975,,,6.467974815325089e-74,3.9318954594140555e-72,,0.42078975
Cct3,0.41332442,,,6.736072695272631e-74,4.0383917200003435e-72,,0.41332442
Akr1c19,0.9540931,,,7.373686660729768e-74,4.3903738453235537e-72,,0.9540931
Hint1,0.17892931,,,2.2215895508235952e-73,1.3048836463046967e-71,,0.17892931
Psmb5,0.3500815,,,7.790655277171009e-73,4.485044127446859e-71,,0.3500815
Tmem14c,0.2968995,,,3.2494270573375556e-72,1.8462267587866254e-70,,0.2968995
Psmb3,0.32341376,,,3.5363495068866865e-71,1.9833216944107075e-69,,0.32341376
Prmt1,0.49200603,,,6.365015754971356e-71,3.524272736176178e-69,,0.49200603
Mydgf,0.40565473,,,7.13992256122768e-71,3.9283130901741914e-69,,0.40565473
Timm13,0.24507654,,,1.6359997796467886e-70,8.944494392748135e-69,,0.24507654
St3gal6,0.8368448,,,1.4232081524325114e-69,7.68444004291666e-68,,0.8368448
Psmd7,0.42703897,,,4.2836655046247125e-69,2.2845340019449464e-67,,0.42703897
Lpcat3,0.5709174,,,6.262591057800815e-69,3.299436610028029e-67,,0.5709174
Park7,0.2606561,,,3.957878294059746e-68,2.060229701213256e-66,,0.2606561
Snrpd1,0.29905316,,,1.1374343035913256e-66,5.816303765364349e-65,,0.29905316
Pdia6,0.44658482,,,1.1967874622929212e-66,6.0840195378434875e-65,,0.44658482
H2afz,0.2684606,,,1.9443824787963228e-66,9.770240975824528e-65,,0.2684606
Cyc1,0.27635413,,,2.712895441152692e-66,1.3553563258586408e-64,,0.27635413
Sdf2l1,0.6323344,,,2.972563859962004e-66,1.4765998648371257e-64,,0.6323344
Pfdn6,0.36154103,,,7.325597746326932e-66,3.618262568682956e-64,,0.36154103
Cgref1,0.8832814,,,1.1170339496707005e-64,5.394653402493e-63,,0.8832814
Rexo2,0.51244324,,,1.761836713641202e-64,8.461683177725397e-63,,0.51244324
Ncl,0.25330397,,,2.35657097273315e-64,1.125586344284026e-62,,0.25330397
Tuba1b,0.4551151,,,2.573959071447432e-64,1.2227008856881162e-62,,0.4551151
Hspa9,0.28885776,,,2.754745388760531e-64,1.3014674817660487e-62,,0.28885776
Aars,0.4256449,,,4.7459089851173134e-64,2.2300641517635027e-62,,0.4256449
Ldha,0.36272764,,,6.188952701881692e-64,2.8925035396482554e-62,,0.36272764
Alyref,0.46207836,,,1.573987095362849e-63,7.278015861696407e-62,,0.46207836
Psmb2,0.3260672,,,2.509024063162274e-63,1.1540183164587115e-61,,0.3260672
Tagln2,0.32967693,,,1.750928912301306e-62,7.927513038872527e-61,,0.32967693
Uchl3,0.4978308,,,2.9814734141529153e-62,1.3428988802710513e-60,,0.4978308
Snrpd3,0.32903823,,,1.2717604806032695e-61,5.669443004043191e-60,,0.32903823
Pcbp1,0.29903278,,,1.4040400585901064e-61,6.207384074394405e-60,,0.29903278
Cdk2ap1,0.56118107,,,1.4067119091863542e-61,6.207384074394405e-60,,0.56118107
Tomm20,0.21017614,,,2.6923021264949955e-61,1.176089567116633e-59,,0.21017614
Higd1a,0.38177478,,,2.754079189669332e-61,1.197060519789775e-59,,0.38177478
Banf1,0.29049987,,,4.400162396730543e-61,1.903015508197941e-59,,0.29049987
Cnbp,0.2859295,,,2.2813857626452397e-60,9.81786457162132e-59,,0.2859295
Slc25a20,0.9386014,,,2.5122522203002e-60,1.0758132291167311e-58,,0.9386014
Tmem97,0.4585301,,,8.397479274481689e-60,3.560940845515577e-58,,0.4585301
Nolc1,0.47243592,,,8.596385087779879e-60,3.627591046993713e-58,,0.47243592
Vcp,0.34268174,,,1.3263737382326196e-59,5.5701289403169866e-58,,0.34268174
Stip1,0.4745954,,,4.759157604912799e-59,1.9890075509378347e-57,,0.4745954
Prdx1,0.27177602,,,5.286267475406172e-59,2.1987331657275528e-57,,0.27177602
Pxmp4,0.8306595,,,1.5532831792415697e-58,6.369193715635362e-57,,0.8306595
Hsd17b4,0.53427714,,,1.7171574329111584e-58,7.008098386993755e-57,,0.53427714
Gstm3,0.93817186,,,2.2392079410192425e-58,9.095997491252465e-57,,0.93817186
Ptges3,0.32856748,,,2.9576171756130934e-58,1.1958402840746336e-56,,0.32856748
Psma7,0.2685892,,,7.517267587714023e-58,3.0253521824073147e-56,,0.2685892
Eif3b,0.4068217,,,7.697738602548476e-58,3.0837069894909634e-56,,0.4068217
Atp5g1,0.17128327,,,8.647923804714701e-58,3.4484587905681146e-56,,0.17128327
Slc35b1,0.5595727,,,1.0097818160575003e-56,4.008234395884863e-55,,0.5595727
Ppia,0.15282224,,,1.7846620037821688e-56,7.051848544944725e-55,,0.15282224
Gstt2,0.47725862,,,1.8203429996771123e-56,7.160290360268387e-55,,0.47725862
Nhp2l1,0.27069408,,,2.5482039809903313e-56,9.978169912949977e-55,,0.27069408
Mgst1,0.30800694,,,3.3018620965079725e-56,1.287133955378646e-54,,0.30800694
Ces2e,0.5787089,,,1.9856681691545637e-55,7.671739286426943e-54,,0.5787089
Pdap1,0.32419577,,,2.7811662466956643e-55,1.0697645213506818e-53,,0.32419577
Pa2g4,0.36070597,,,7.496784059476306e-55,2.845831608254477e-53,,0.36070597
Eif4a1,0.25422558,,,7.969827196709493e-55,3.012248166130244e-53,,0.25422558
Aadac,0.5617322,,,2.0295646127972145e-54,7.604743611657839e-53,,0.5617322
Fkbp3,0.38361096,,,4.86786611012153e-54,1.808391457063524e-52,,0.38361096
Mrpl36,0.32425505,,,1.1883236923727574e-53,4.395786322466544e-52,,0.32425505
Psma4,0.3557319,,,5.334205085100743e-53,1.964840881558507e-51,,0.3557319
Serp1,0.41288596,,,2.354336886894407e-52,8.527604399072117e-51,,0.41288596
Cpt2,0.5499152,,,6.241145792428607e-52,2.2419124121314823e-50,,0.5499152
Tmem266,1.2911928,,,1.410427824542326e-51,5.02493814702723e-50,,1.2911928
Ndufab1,0.21681874,,,1.6591276550295673e-51,5.8868557980293995e-50,,0.21681874
Ebna1bp2,0.41046315,,,2.001932546356948e-51,7.074308790845914e-50,,0.41046315
Oaz1,0.13973434,,,2.872123604314377e-51,1.0067488101735839e-49,,0.13973434
Defa-rs1,1.4440323,,,2.924403194173785e-51,1.0209573079097475e-49,,1.4440323
Tmem54,0.40647605,,,4.7424115222417403e-51,1.6490313345138978e-49,,0.40647605
Ube2s,0.41802698,,,1.040078961423335e-50,3.58785968716391e-49,,0.41802698
Gnl3,0.4744134,,,1.097649342497791e-50,3.771488432542806e-49,,0.4744134
Mrpl18,0.2497585,,,1.1732775878277685e-50,4.015473256294013e-49,,0.2497585
Mgll,2.9877589,,,1.2574973794997617e-50,4.2868332235260505e-49,,2.9877589
Crls1,0.61463505,,,1.7014815763439812e-50,5.755244880606315e-49,,0.61463505
Edf1,0.22432187,,,1.7201254204427009e-50,5.795755922445116e-49,,0.22432187
Pex11a,0.7816378,,,2.730026870628032e-50,9.162982079679336e-49,,0.7816378
Hnrnpab,0.23501486,,,7.289309231395486e-50,2.4278147566483125e-48,,0.23501486
Eif6,0.30823803,,,1.6047773789434267e-49,5.2842158163466696e-48,,0.30823803
Sod1,0.3357611,,,1.8249843203924812e-49,5.986637244215789e-48,,0.3357611
Nt5c,0.29896283,,,2.1740298532391855e-49,7.104827636920391e-48,,0.29896283
Bri3bp,0.47810552,,,2.183277217617519e-49,7.108325413014641e-48,,0.47810552
Defa26,1.6149698,,,2.3769811815082423e-49,7.71011097419819e-48,,1.6149698
Ddx39,0.40894166,,,2.896187446461792e-49,9.359315045387493e-48,,0.40894166
Acsl3,0.6969137,,,3.033430189726885e-49,9.766521718257708e-48,,0.6969137
Rbm8a,0.33984596,,,4.0063044464967164e-49,1.2851219392397032e-47,,0.33984596
Gmds,0.34882882,,,5.218263915507938e-49,1.661625209432619e-47,,0.34882882
Mrfap1,0.24597855,,,7.792591792954828e-49,2.472299286721033e-47,,0.24597855
Mbd3,0.43924952,,,1.3115001756472367e-48,4.1457712825096107e-47,,0.43924952
Pebp1,0.19270484,,,1.659007118722997e-48,5.225271334441672e-47,,0.19270484
