,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Acot1,3.4875734,,,1.3322687041179943e-242,1.063416879626983e-238,,3.4875734
Hmgcs2,2.696301,,,8.446340413805976e-191,3.370934459149965e-187,,2.696301
Fabp1,2.142534,,,5.1904067072968135e-143,1.3809942112547722e-139,,2.142534
Fabp2,1.4024371,,,5.148425393551346e-126,1.0273682872831712e-122,,1.4024371
Hsd17b11,1.3763562,,,3.3211658685585204e-99,2.945505106981568e-96,,1.3763562
Me1,1.9075106,,,1.436656443744375e-95,1.0424901576334183e-92,,1.9075106
Dhrs4,0.8365343,,,4.771485329721424e-95,3.1738329918197004e-92,,0.8365343
Creb3l3,1.3314092,,,3.4580372008040065e-93,2.12323484129366e-90,,1.3314092
Cyp4a10,3.5864842,,,2.5095290493000155e-85,1.3354040581008482e-82,,3.5864842
Retsat,1.2869703,,,1.521045003837939e-80,6.070490610317215e-78,,1.2869703
Chchd2,0.24947968,,,3.0246645812946686e-78,1.1496606041854307e-75,,0.24947968
Abcd3,0.9159433,,,4.046728541709662e-75,1.4043907486924574e-72,,0.9159433
Hsp90aa1,0.98490876,,,1.445492523211099e-69,4.437662046258074e-67,,0.98490876
Ces1f,1.3463839,,,4.337883779545701e-64,1.1939651147701306e-61,,1.3463839
Plin2,0.9456258,,,3.002491612138418e-63,7.988629349362951e-61,,0.9456258
Etfb,0.5050988,,,2.107652183428105e-61,5.426864428426817e-59,,0.5050988
G0s2,5.151653,,,3.912650810955217e-57,9.759618366576419e-55,,5.151653
Ech1,0.61520445,,,1.3549708752847611e-55,3.180993390153813e-53,,0.61520445
Acaa2,0.5916327,,,6.846460489661411e-54,1.4012422468840355e-51,,0.5916327
Por,1.0288143,,,8.719467945289613e-51,1.697531539982968e-48,,1.0288143
Hsdl2,1.1467578,,,7.193550090747905e-50,1.3353236470779018e-47,,1.1467578
Akr1b8,1.5712724,,,2.622287153028834e-49,4.757067285335489e-47,,1.5712724
Scd2,1.5798985,,,2.3733147310937742e-48,4.118216996432719e-46,,1.5798985
Angptl4,1.9426624,,,8.31048724251829e-45,1.2848108312501517e-42,,1.9426624
Pxmp4,1.0967959,,,8.370103135180142e-45,1.2848108312501517e-42,,1.0967959
Acaa1b,1.8814598,,,2.8732114544433434e-44,4.327164873465428e-42,,1.8814598
Hadhb,0.5939314,,,5.486113302778217e-43,7.961846615050132e-41,,0.5939314
Nme1,0.48348358,,,3.915459819047508e-42,5.580928620649502e-40,,0.48348358
Acadvl,0.6029452,,,1.9996095416437452e-41,2.8001549756842764e-39,,0.6029452
Ftl1,0.32931873,,,2.2165238902788292e-39,2.900376015115675e-37,,0.32931873
Acot2,1.7687744,,,7.119765362784575e-39,9.166123729959109e-37,,1.7687744
Mgst1,0.43069756,,,7.467581320503362e-38,9.313474078165287e-36,,0.43069756
Pank3,0.7750412,,,1.9531457048107755e-37,2.3621225781514562e-35,,0.7750412
Slc25a20,0.9321492,,,5.776406917437022e-37,6.881683584325717e-35,,0.9321492
Acadl,0.7417884,,,1.6610762458978158e-35,1.921552260109618e-33,,0.7417884
Rab9,0.80363107,,,8.437163976087182e-35,9.485273641848999e-33,,0.80363107
Erh,0.52775186,,,1.1607906714083561e-34,1.2868654359974304e-32,,0.52775186
Acot8,0.7370512,,,3.499126362757436e-34,3.724003550337314e-32,,0.7370512
Paqr7,1.5104456,,,2.6082912295621635e-33,2.6691513582519477e-31,,1.5104456
