,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm15284,1.40694,,,9.640281199581389e-76,1.67549013334217e-71,,1.40694
Fabp1,3.3025157,,,1.9068914053857284e-75,1.67549013334217e-71,,3.3025157
Acot1,1.8858709,,,7.143961425047169e-43,4.18469447074513e-39,,1.8858709
Hmgcs2,1.6109515,,,3.4199443708063737e-41,1.50246706070451e-37,,1.6109515
Lyz1,1.4166547,,,2.2948129936977285e-38,8.065349747650036e-35,,1.4166547
Gm14851,1.4821488,,,1.5414865445113297e-35,4.5147571744496e-32,,1.4821488
Gm14850,1.1149158,,,2.098091187309677e-35,5.267108062084708e-32,,1.1149158
Fabp2,0.72724515,,,5.582097383439182e-28,1.0218544888872315e-24,,0.72724515
Defa24,0.87796634,,,5.814912017795661e-28,1.0218544888872315e-24,,0.87796634
AY761184,1.123229,,,1.0319852330552643e-27,1.6486433182254692e-24,,1.123229
mt-Nd1,0.31261855,,,1.2044263065085024e-23,1.628106421867224e-20,,0.31261855
Gm7861,1.1821355,,,3.1978716278728096e-21,3.512262382288055e-18,,1.1821355
Scd2,1.077827,,,6.624209975718678e-20,5.820362095165216e-17,,1.077827
Defa17,0.83714116,,,1.0889080117746632e-19,9.112085948055312e-17,,0.83714116
Acaa2,0.5686459,,,8.758520996876693e-17,5.496910338504076e-14,,0.5686459
Ech1,0.45934838,,,1.1573856023717131e-15,6.560882964670359e-13,,0.45934838
Tubb4b,0.7452248,,,4.1530731612141765e-15,2.007236958304959e-12,,0.7452248
Tmem238,0.438973,,,5.2753024964335814e-14,1.9313102243714027e-11,,0.438973
Creb3l3,2.304581,,,5.6056791494165e-14,2.0103795855652276e-11,,2.304581
Hsp90aa1,0.46716994,,,4.076005351074356e-13,1.3514649440458427e-10,,0.46716994
Acadvl,0.5962043,,,5.40617596980812e-13,1.759309820693298e-10,,0.5962043
Dhrs4,0.5245376,,,8.129432173276774e-13,2.597427483290777e-10,,0.5245376
Hadha,0.5113001,,,9.573618025898794e-13,2.9515296415635e-10,,0.5113001
Slc35b1,0.5916612,,,9.106415945291478e-12,2.540111863596939e-09,,0.5916612
H2afz,0.35482997,,,1.3050863375224201e-11,3.5834815952002326e-09,,0.35482997
Tmem54,0.49452487,,,2.0203286931674354e-11,5.379278200762325e-09,,0.49452487
Defa20,0.5263037,,,2.440653696293459e-11,6.401433941039545e-09,,0.5263037
Nme1,0.24469292,,,2.8122748943652178e-11,7.162334307055069e-09,,0.24469292
H3f3b,0.21693401,,,6.035566192406946e-11,1.4938451366079897e-08,,0.21693401
Rbp2,1.0293481,,,1.3082826947538143e-10,3.193118304848441e-08,,1.0293481
Ldha,0.35501876,,,1.3537922345493259e-10,3.258930265443192e-08,,0.35501876
mt-Nd4,0.1749157,,,1.6070178249088065e-10,3.816233005016548e-08,,0.1749157
Retsat,0.90372944,,,2.106496268284736e-10,4.9356611896756886e-08,,0.90372944
Hadhb,0.4761718,,,2.167362070708964e-10,4.9772754120831625e-08,,0.4761718
Phb2,0.29061738,,,2.180903697322048e-10,4.9772754120831625e-08,,0.29061738
mt-Co3,0.15181874,,,2.632540660671094e-10,5.9309791064068125e-08,,0.15181874
mt-Nd2,0.18856165,,,3.541522740527691e-10,7.877870774594065e-08,,0.18856165
Ppa1,0.3727669,,,4.265831843992209e-10,9.370432874309385e-08,,0.3727669
Chchd2,0.14223328,,,6.503730774709737e-10,1.393781230536271e-07,,0.14223328
Lpcat3,0.58789915,,,1.0766020005112948e-09,2.2334153657008875e-07,,0.58789915
Ube2s,0.47421837,,,1.1246286969032302e-09,2.2980348942651705e-07,,0.47421837
Tmem97,0.48566264,,,1.152862973174585e-09,2.3286506928272393e-07,,0.48566264
Cycs,0.29517508,,,1.2166015190840942e-09,2.4294702835073623e-07,,0.29517508
Ranbp1,0.38218647,,,1.2991809663319983e-09,2.565225519253057e-07,,0.38218647
Oaz1,0.15249528,,,1.6067427535450285e-09,3.1372544897829764e-07,,0.15249528
Ppp1r14b,0.33676222,,,1.7665470005042803e-09,3.374903722795694e-07,,0.33676222
Me1,1.7260787,,,1.7785362790952066e-09,3.374903722795694e-07,,1.7260787
