,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.1270168,,,1.0985458685176377e-77,6.834053848048224e-74,,2.1270168
Agt,1.9714857,,,2.751317548595331e-37,8.557973234905777e-34,,1.9714857
Hmgcs2,1.6634755,,,1.4652658371613063e-28,3.038472924326829e-25,,1.6634755
Blvrb,1.0600682,,,8.407112633403906e-25,1.3075161923101422e-21,,1.0600682
Pnliprp2,1.0152367,,,1.2715878207743728e-23,1.5333085963310504e-20,,1.0152367
Hsp90aa1,1.038737,,,1.4788380610812253e-23,1.5333085963310504e-20,,1.038737
Pnliprp1,1.2347612,,,4.156501385172946e-17,2.8730661241289884e-14,,1.2347612
Fabp2,0.5763067,,,4.424407689514989e-14,2.117249248959442e-11,,0.5763067
Hspa5,0.58556247,,,1.270953222180941e-13,5.6475714251340234e-11,,0.58556247
Creld2,0.8108786,,,1.3025828998439974e-12,5.402245479953005e-10,,0.8108786
Dnaja1,0.88162965,,,7.290600315788113e-12,2.519712475806547e-09,,0.88162965
Reg4,0.5102554,,,3.905750016498013e-11,1.2788247817175862e-08,,0.5102554
Fos,0.7589475,,,1.5692014781794188e-10,4.648572569406745e-08,,0.7589475
Manf,0.4933339,,,1.8340475960744613e-10,5.186186406899647e-08,,0.4933339
Selk,0.43226376,,,2.5712913003600895e-10,6.954783991104399e-08,,0.43226376
Dnajc3,0.43369943,,,3.1283134038003776e-10,7.74456089478211e-08,,0.43369943
Fam213a,0.48394892,,,3.325775874392117e-10,7.74456089478211e-08,,0.48394892
Hsp90ab1,0.34796715,,,1.392072225816352e-09,2.793574618323718e-07,,0.34796715
Ier2,0.5923546,,,3.826965114744632e-09,6.613208327451766e-07,,0.5923546
Rbp2,0.9424649,,,5.005663268582863e-09,8.194797682593155e-07,,0.9424649
Jun,0.6017722,,,5.806049506798251e-09,9.261393328664594e-07,,0.6017722
Slc3a2,0.8764159,,,6.757693384959792e-09,1.0509902636958716e-06,,0.8764159
Lyz2,0.53908134,,,1.5696439435279407e-08,2.3816475543139804e-06,,0.53908134
Herpud1,0.5194779,,,1.8305997577538613e-08,2.594044150283907e-06,,0.5194779
Espn,1.0460103,,,1.8347201834510836e-08,2.594044150283907e-06,,1.0460103
Wnt3,0.5212151,,,2.4875556855392747e-08,3.438907537719962e-06,,0.5212151
Bambi,0.6206841,,,3.7144554447682293e-08,4.916516451468756e-06,,0.6206841
Fam210b,0.9400307,,,4.358069129193247e-08,5.6482391776481645e-06,,0.9400307
Apoe,1.858336,,,5.8950169693435076e-08,7.484265421691012e-06,,1.858336
Serp1,0.35410276,,,1.3472817289467228e-07,1.4837002620602125e-05,,0.35410276
Defa26,0.41137314,,,1.359442451976083e-07,1.4837002620602125e-05,,0.41137314
Ccl6,0.5886492,,,3.0285166704651524e-07,2.990540032851383e-05,,0.5886492
Defa23,0.7777083,,,3.2728323496662016e-07,3.181295319886475e-05,,0.7777083
Spcs2,0.3747409,,,3.3664635458632017e-07,3.2219645721253815e-05,,0.3747409
Hsph1,1.0595521,,,3.8609515686726105e-07,3.5684208937273535e-05,,1.0595521
Ubb,0.24002036,,,4.3516304051345343e-07,3.923404746426368e-05,,0.24002036
Fzd9,0.9155357,,,5.486389401876474e-07,4.807158939306133e-05,,0.9155357
Mgll,1.1820768,,,5.77835505703484e-07,4.924266686275854e-05,,1.1820768
Nars,0.46627104,,,6.49837668877973e-07,5.46302721363496e-05,,0.46627104
Asns,0.59665287,,,8.735677331440879e-07,6.967262651140219e-05,,0.59665287
Smim3,0.77621937,,,1.2770583437916078e-06,9.456734279541344e-05,,0.77621937
Hsp90b1,0.30034462,,,1.4057792782239436e-06,0.0001016901498817576,,0.30034462
Dnajb9,0.6878403,,,2.206871912314284e-06,0.0001492277192011648,,0.6878403
Sdf2l1,0.40312418,,,2.267805658989916e-06,0.00015058785538342044,,0.40312418
Kcnk1,0.45304742,,,2.2753991972418455e-06,0.00015058785538342044,,0.45304742
Guca2b,0.23491809,,,3.463026082242821e-06,0.00020916005104497663,,0.23491809
Lgmn,0.93201214,,,4.039451154807003e-06,0.00024162909263513813,,0.93201214
Guk1,0.40883416,,,4.454311234971046e-06,0.00026141764332787617,,0.40883416
Creb3l3,2.6418247,,,5.0386247723558165e-06,0.00029294658606379004,,2.6418247
Mmp7,0.28927362,,,7.284899087348754e-06,0.00040463711805711243,,0.28927362
Kif5b,0.30442396,,,7.476155923159551e-06,0.00041158553980509354,,0.30442396
Acaa2,0.38652065,,,7.962891774732395e-06,0.00043453640114570375,,0.38652065
Arpc5l,0.48091382,,,9.577051566754659e-06,0.0005136106706619029,,0.48091382
Tm4sf4,0.53685623,,,1.0999130910322165e-05,0.0005848341315650785,,0.53685623
Dio1,0.5088227,,,1.1707843762937705e-05,0.0006172414919426734,,0.5088227
Phyh,0.67226547,,,1.2051512398613528e-05,0.0006259769807891147,,0.67226547
Gmppb,0.41995308,,,1.2175408242321634e-05,0.0006259769807891147,,0.41995308
Apoh,1.4825655,,,1.4741115226319492e-05,0.0007495176230861424,,1.4825655
Sfn,0.92064977,,,1.4819268226908136e-05,0.0007495176230861424,,0.92064977
Ccl9,0.26298395,,,1.4970167154211983e-05,0.0007510436279544576,,0.26298395
Pdia2,1.2907953,,,1.9372975165732717e-05,0.0009489706968978207,,1.2907953
Pdia4,0.6147361,,,1.9798799188079283e-05,0.0009622525761643845,,0.6147361
Rexo2,0.42890817,,,2.0312737305986072e-05,0.000979577820004181,,0.42890817
Acadl,0.60693324,,,2.4303462761410017e-05,0.0011541361972422267,,0.60693324
H13,0.33981347,,,2.5100047967429203e-05,0.0011829348364043718,,0.33981347
Nkd1,1.187507,,,2.5524026401778382e-05,0.001193871941695213,,1.187507
Hes6,0.28335732,,,3.6184843325103047e-05,0.0016312022487352613,,0.28335732
Vcp,0.1944882,,,3.856140150821052e-05,0.0017135034198755546,,0.1944882
Hist1h2bc,0.5201129,,,3.9746069657654856e-05,0.0017412697136638794,,0.5201129
Calm1,0.23062803,,,4.300435253559021e-05,0.0018578477578049077,,0.23062803
Jtb,0.32069024,,,5.115867215230628e-05,0.0020955397659994323,,0.32069024
Ramp1,0.18935041,,,5.5456032441502554e-05,0.002254849528226061,,0.18935041
Hspa1a,1.084082,,,6.448731437631125e-05,0.0025552584887581675,,1.084082
Jund,0.30442202,,,6.54981405635129e-05,0.0025788856483899606,,0.30442202
Arf1,0.26490018,,,6.660557903016627e-05,0.002605995642431851,,0.26490018
S100a16,0.4907872,,,6.918361142216849e-05,0.0026589044176398213,,0.4907872
Pglyrp1,0.18299702,,,7.032123215825472e-05,0.002683855124273022,,0.18299702
Rab1a,0.3134598,,,7.153476797926323e-05,0.0027135231195060767,,0.3134598
Ap3s1,0.35856298,,,8.695645606347977e-05,0.003258771766089805,,0.35856298
Nlrc4,0.6074531,,,9.016393418335955e-05,0.0033587415242795193,,0.6074531
Hnrnpf,0.23479775,,,9.28473094763207e-05,0.0034381137634058993,,0.23479775
Cmpk1,0.25468007,,,9.816658230532421e-05,0.003612498108985656,,0.25468007
Txndc5,0.24458112,,,9.871800008480333e-05,0.003612498108985656,,0.24458112
Dnajb6,0.4047925,,,0.00010615778064211469,0.0038620324758748274,,0.4047925
Bud31,0.33175415,,,0.00012053742902688853,0.00435164720310686,,0.33175415
Ninj1,0.4428765,,,0.0001244091449449126,0.00444798442932357,,0.4428765
Fkbp4,0.2700843,,,0.0001381966808515556,0.0049126945804430135,,0.2700843
Ahsa1,0.40388963,,,0.00014719323513723507,0.005173384834964629,,0.40388963
Btg2,0.34462395,,,0.00015649510091380315,0.005469415858341401,,0.34462395
Tuba1c,0.49314168,,,0.00016403861557676448,0.0057010292039276645,,0.49314168
Golph3,0.6702087,,,0.00016862288897844473,0.005827794401860582,,0.6702087
Edem2,0.28308222,,,0.00018552733704572572,0.006238732777088971,,0.28308222
Srp68,0.4900422,,,0.0001919257073729124,0.006325297275068968,,0.4900422
Dhrs7,0.5114764,,,0.00019259164793475995,0.006325297275068968,,0.5114764
Spint2,0.10602309,,,0.00019318541749929334,0.006325297275068968,,0.10602309
Pla2g12a,0.34230968,,,0.00019318541749929334,0.006325297275068968,,0.34230968
Lmna,0.3693781,,,0.0001973143900441721,0.006426663981491071,,0.3693781
Sec22b,0.44502372,,,0.00020044614266649202,0.006454905752788752,,0.44502372
Cdkn1a,0.5658751,,,0.00020044614266649202,0.006454905752788752,,0.5658751
Ero1lb,1.617922,,,0.00020129428002588296,0.006454905752788752,,1.617922
Cycs,0.20088811,,,0.0002072469009538382,0.006611707542737577,,0.20088811
Erp29,0.33726075,,,0.00023160226704023695,0.007220454019922025,,0.33726075
Ctsh,0.47025022,,,0.00023177859180942991,0.007220454019922025,,0.47025022
Map2k2,0.30858222,,,0.0002321316193512948,0.007220454019922025,,0.30858222
Ftl1,0.13894585,,,0.00024121458093728494,0.007465651283636068,,0.13894585
Cfi,0.6323939,,,0.00026186908111081855,0.008064789869259417,,0.6323939
Gpx2,0.2585865,,,0.0002678660714602375,0.008168602110559496,,0.2585865
Calr,0.22472899,,,0.00029592554417411744,0.0089139643835953,,0.22472899
Srp9,0.19271342,,,0.000297370506481063,0.0089139643835953,,0.19271342
Scamp2,0.46975535,,,0.00030401185398654974,0.009049080113159455,,0.46975535
Pycr2,0.36098766,,,0.0003178318665519032,0.009415390675330426,,0.36098766
Ctsz,0.3824465,,,0.0003559851224675544,0.010397105384369278,,0.3824465
Srp54b,0.17085668,,,0.00037586594043811407,0.01087563728123492,,0.17085668
Spcs1,0.2178399,,,0.0003896913214756441,0.011223470883796213,,0.2178399
Ube2d3,0.278577,,,0.00040562605785083645,0.011628570073226053,,0.278577
Copz2,0.31134143,,,0.00042047033640119205,0.01199883469152209,,0.31134143
Saraf,0.29957524,,,0.000436617732207883,0.012402734758288769,,0.29957524
Hspe1,0.22039561,,,0.00046674316841368283,0.013138503396839462,,0.22039561
Snx3,0.28446305,,,0.00047946691198427825,0.013435872339883762,,0.28446305
Hspa1b,0.88691235,,,0.0005069900536321192,0.013955686387811564,,0.88691235
Nudt22,0.51554525,,,0.0005069900536321192,0.013955686387811564,,0.51554525
Tm2d3,0.42080283,,,0.0005317464193697456,0.014445390720083787,,0.42080283
Ube2k,0.28741273,,,0.0005552252604044114,0.014952624870025296,,0.28741273
Cdc34,0.3899981,,,0.0006012259526612633,0.016121666601317756,,0.3899981
Rmdn3,0.6082969,,,0.0006151318393885047,0.016423756106591792,,0.6082969
Phgdh,0.7141617,,,0.000646140884300716,0.01703238322557099,,0.7141617
Bet1,0.32786807,,,0.0006495976450791776,0.017051252953744992,,0.32786807
Eif5,0.18144791,,,0.0006892621205652221,0.01784451265992276,,0.18144791
Crlf1,0.40530375,,,0.000694160434608794,0.01784451265992276,,0.40530375
5330417C22Rik,0.24350794,,,0.0007239806769175171,0.018504194821060842,,0.24350794
2010007H06Rik,2.4521217,,,0.0007431199630230096,0.018792476788480256,,2.4521217
Sh3glb1,0.2553568,,,0.0007489000016938075,0.01886197129772136,,0.2553568
1110008P14Rik,0.33301035,,,0.00085198900618586,0.021286038584266004,,0.33301035
Gps1,0.5644227,,,0.0008727262488232423,0.021716919975717563,,0.5644227
Kctd14,0.6113589,,,0.0008837305258393883,0.02190313785357305,,0.6113589
Pllp,0.40043095,,,0.0009223064237762117,0.022657234802195694,,0.40043095
Crls1,0.5120306,,,0.0009287244614306225,0.022657234802195694,,0.5120306
Deb1,0.35318506,,,0.0009452782237702321,0.022970999336228957,,0.35318506
Smim14,0.20922524,,,0.0009577896412106093,0.023118583607622006,,0.20922524
Rpn1,0.17615873,,,0.0009587838885655807,0.023118583607622006,,0.17615873
Tm2d2,0.39321932,,,0.0009880362645517144,0.023731944408402376,,0.39321932
Egr1,0.22507544,,,0.0010202183169386115,0.024410685191058084,,0.22507544
Noct,0.8178745,,,0.0010555407792537234,0.025159077347652922,,0.8178745
Dynll1,0.16487043,,,0.001118081742334491,0.026447097030657295,,0.16487043
Tmed6,0.262265,,,0.0011852433729845633,0.027929541755064274,,0.262265
Sult1d1,0.46120283,,,0.0012655125361093766,0.02948596811661585,,0.46120283
Bckdk,0.34562483,,,0.0012827642511473313,0.029507706927618112,,0.34562483
Rchy1,0.3035423,,,0.001287110968759973,0.029507706927618112,,0.3035423
Mif,0.21156038,,,0.0012901617560379564,0.029507706927618112,,0.21156038
Tmem248,0.4891086,,,0.0013183657527981473,0.030042319956620052,,0.4891086
Ppa1,0.23206612,,,0.001338536166035713,0.0303906331711977,,0.23206612
Slc35c2,0.7181975,,,0.001425442667599152,0.031922729032266076,,0.7181975
Med21,0.2731011,,,0.0014268783496769902,0.031922729032266076,,0.2731011
Taf10,0.365584,,,0.0014316735894554307,0.031922729032266076,,0.365584
Sub1,0.18744698,,,0.0014490597208151913,0.03219500186854037,,0.18744698
Rep15,0.3775075,,,0.0014978799414905662,0.03316124952317727,,0.3775075
Tfg,0.2988812,,,0.0015251435155097337,0.033645098616971826,,0.2988812
Bace2,0.47901708,,,0.001556490621815039,0.03421529384562317,,0.47901708
