,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Lyz1,2.0212536,,,1.0468970659250826e-21,1.8397122139501476e-17,,2.0212536
Defa24,1.3403742,,,4.657677667496245e-19,4.0924684825455755e-15,,1.3403742
Gm15284,1.5862389,,,3.348519374086158e-17,1.9614510320272022e-13,,1.5862389
Itln1,1.6411772,,,3.850535254944916e-14,1.6916364008786751e-10,,1.6411772
AY761184,1.2188686,,,5.0415139218266686e-08,0.0001771890482965201,,1.2188686
Gm14851,1.4330473,,,8.617837139653734e-08,0.00025240208675855844,,1.4330473
Gm14850,1.0631325,,,1.7093434039545065e-07,0.0003754786454711568,,1.0631325
Fabp1,1.1985223,,,2.837335098878403e-06,0.004532771790235471,,1.1985223
Hn1,0.42024243,,,7.950011670651472e-06,0.010746581160642947,,0.42024243
Fkbp4,0.42065823,,,1.3158768914971296e-05,0.016054007044982648,,0.42065823
Defa17,0.853202,,,1.3703414651723651e-05,0.016054007044982648,,0.853202
Defa20,0.758162,,,1.7901326499445563e-05,0.018504706504397464,,0.758162
Defa22,1.0049672,,,2.3391277911864572e-05,0.021634469828694533,,1.0049672
Hmgcs2,1.2753963,,,2.827108322677033e-05,0.02484038727720175,,1.2753963
Inpp5j,0.69292593,,,6.841363944553966e-05,0.0572491850464985,,0.69292593
Cdc37,0.41049933,,,8.695713469323221e-05,0.06643903165061607,,0.41049933
Tfg,0.7350486,,,0.00017751455153059532,0.12997763391863132,,0.7350486
Mtch1,0.48718238,,,0.00023364494547762753,0.14992329362579923,,0.48718238
Cacybp,0.5420174,,,0.00023438627327223988,0.14992329362579923,,0.5420174
Atg5,0.865814,,,0.000414176020658424,0.2111355350466144,,0.865814
Acadl,0.6620741,,,0.00042054704147861553,0.2111355350466144,,0.6620741
Ppil4,1.1080261,,,0.0004415546417234301,0.2111355350466144,,1.1080261
Defa21,0.77762115,,,0.0004442484013159478,0.2111355350466144,,0.77762115
Eci2,0.66379404,,,0.0004524219965324369,0.2111355350466144,,0.66379404
Psma4,0.42051813,,,0.0004909698925161803,0.22122599797914963,,0.42051813
Hnrnpk,0.36636963,,,0.0005106029515661541,0.22432064169680063,,0.36636963
Eif3d,0.53565073,,,0.0006523088973163628,0.2559215399404257,,0.53565073
Dnaja2,0.46225074,,,0.0007106282169550189,0.2601639511781364,,0.46225074
Rbmxl1,0.67629015,,,0.0008037206723110736,0.28264781325555477,,0.67629015
Sec11a,0.44815972,,,0.0008131530828336087,0.28264781325555477,,0.44815972
Hnrnpf,0.32626393,,,0.0008202946836643314,0.28264781325555477,,0.32626393
Marcksl1,0.6416801,,,0.0009592166698748258,0.3089040748707808,,0.6416801
H3f3a,0.19429629,,,0.0009843867406113768,0.3089040748707808,,0.19429629
Ang4,0.94110835,,,0.0010425250595170227,0.3214086468577656,,0.94110835
Gm7861,1.1443695,,,0.001135712178431617,0.34410120882032424,,1.1443695
Zg16,0.6052668,,,0.0014231523855842768,0.40821154592379766,,0.6052668
Psmc2,0.5778581,,,0.0014431749383765188,0.40821154592379766,,0.5778581
Ubb,0.21514474,,,0.0015132098560835302,0.41549432501493555,,0.21514474
Acot1,0.8719821,,,0.001815821758996618,0.4762602353857846,,0.8719821
Pdia6,0.511655,,,0.002149805222329975,0.526122503251551,,0.511655
Ube2e1,0.4581993,,,0.0023183614581486485,0.5505481878925161,,0.4581993
Smarce1,0.5017956,,,0.0027940316316555436,0.6061668871985539,,0.5017956
Ppic,1.0425794,,,0.002868827842621888,0.6148038009560297,,1.0425794
Saysd1,0.71419996,,,0.0032880666148718944,0.6194795604413953,,0.71419996
Foxa3,0.8342794,,,0.003339871581309394,0.6194795604413953,,0.8342794
Lypla1,0.53795564,,,0.0033573043918718936,0.6194795604413953,,0.53795564
Rab4a,0.7135755,,,0.003454674610098261,0.6194795604413953,,0.7135755
Cbr1,0.4370287,,,0.003830802790163503,0.6405649791072958,,0.4370287
Ift20,0.40601665,,,0.0038903256123326924,0.6405649791072958,,0.40601665
Nr2f6,0.5896066,,,0.0039003273638240853,0.6405649791072958,,0.5896066
Rwdd4a,0.8493909,,,0.004673080867091706,0.7133113271526903,,0.8493909
Kcnk1,0.52304393,,,0.004708593521294718,0.7133113271526903,,0.52304393
Ywhaq,0.34185603,,,0.004889848141086158,0.7220949696076223,,0.34185603
Nkd1,1.0980461,,,0.005001607441337617,0.732443729721883,,1.0980461
Cnpy2,0.3225896,,,0.005115671352001232,0.7429561377579971,,0.3225896
Pebp1,0.18854585,,,0.005271413102284695,0.7526646075134584,,0.18854585
Oaz2,0.5915388,,,0.00547210743264501,0.7669891315490713,,0.5915388
Msi1,1.0119339,,,0.005793255185693515,0.7953505732671261,,1.0119339
Hepacam2,0.48668283,,,0.0059821990540106585,0.8086552613548408,,0.48668283
Sfrp5,1.1732587,,,0.006647370444347487,0.8384665452541251,,1.1732587
Rab3d,0.5973557,,,0.006679867770760685,0.8384665452541251,,0.5973557
Cct3,0.36107677,,,0.006811290027173928,0.8488992882803365,,0.36107677
Smoc2,0.5038752,,,0.00728976139757384,0.85866898414551,,0.5038752
Evl,1.2256826,,,0.007378308575995675,0.85866898414551,,1.2256826
Atxn10,0.63609433,,,0.007431898855031508,0.8592155169701887,,0.63609433
Nhp2l1,0.35211083,,,0.007686631065240836,0.8614304076062219,,0.35211083
Mrpl38,0.46179405,,,0.0077236531988262,0.8614304076062219,,0.46179405
Armc1,0.65339696,,,0.007798177206153009,0.8614304076062219,,0.65339696
Prmt1,0.32723796,,,0.008200098699360368,0.8692060516057583,,0.32723796
Cct5,0.27654046,,,0.008278724080821063,0.8692060516057583,,0.27654046
Gm10116,0.5555004,,,0.008358023311071695,0.8692060516057583,,0.5555004
Stk16,0.5010779,,,0.008458102476787382,0.8692060516057583,,0.5010779
Hspa8,0.2133049,,,0.008600013632176525,0.8765533881977188,,0.2133049
Psmc1,0.48192614,,,0.008640948746811938,0.8765533881977188,,0.48192614
Sumo2,0.25354046,,,0.008723341831412101,0.8765533881977188,,0.25354046
Polr2c,0.4712893,,,0.008932404170236859,0.8765533881977188,,0.4712893
Ctsh,0.68037534,,,0.009124374314284298,0.8765533881977188,,0.68037534
H2afy,0.31019083,,,0.009364000578279044,0.8765533881977188,,0.31019083
Hadhb,0.41872704,,,0.009408167247622699,0.8765533881977188,,0.41872704
Ewsr1,0.32494777,,,0.009430320190107084,0.8765533881977188,,0.32494777
Ppdpf,0.28767207,,,0.009452519648476236,0.8765533881977188,,0.28767207
Sf3b6,0.25213537,,,0.009452519648476236,0.8765533881977188,,0.25213537
Rraga,0.5030932,,,0.009768243004250008,0.8765533881977188,,0.5030932
G3bp2,0.40763497,,,0.009860159457243847,0.8765533881977188,,0.40763497
Mat2a,0.35647053,,,0.009906406034660226,0.8765533881977188,,0.35647053
Anapc10,0.8918737,,,0.009952845756113863,0.8765533881977188,,0.8918737
Set,0.34123057,,,0.01042801747869002,0.8957971415860634,,0.34123057
Bet1,0.76986873,,,0.01047662739278988,0.8957971415860634,,0.76986873
Ppp1r14b,0.31443453,,,0.01117864639528326,0.928755724942248,,0.31443453
Kin,0.92863613,,,0.011492089208486093,0.9479184708601376,,0.92863613
Psmb5,0.30555835,,,0.011651716432203077,0.9479184708601376,,0.30555835
Clps,1.5165108,,,0.011894846201573035,0.9544663575353559,,1.5165108
Spink4,0.43055946,,,0.012004340311020871,0.958873964934408,,0.43055946
Eif3e,0.35039115,,,0.012253974806838657,0.969995942705296,,0.35039115
Mrfap1,0.22659363,,,0.012451303667310202,0.9811962302495165,,0.22659363
Mpzl1,0.54507005,,,0.013060278204157416,1.0,,0.54507005
Vcp,0.30065474,,,0.013060278204157416,1.0,,0.30065474
Cct7,0.28211358,,,0.01329910838545862,1.0,,0.28211358
Thoc2,0.5086099,,,0.013541791127777633,1.0,,0.5086099
Spcs1,0.19689584,,,0.013541791127777633,1.0,,0.19689584
Psma3,0.32798883,,,0.014007385997283161,1.0,,0.32798883
Eif4a1,0.26321012,,,0.014133907003869245,1.0,,0.26321012
Psmd6,0.38782793,,,0.014293475674022836,1.0,,0.38782793
Tmem160,0.3923322,,,0.014584707559417404,1.0,,0.3923322
Hsbp1l1,0.58457714,,,0.015115389077400435,1.0,,0.58457714
Ube2n,0.2878881,,,0.015149114302140011,1.0,,0.2878881
Fam118b,1.2596892,,,0.015732667623651508,1.0,,1.2596892
Drg1,0.54935634,,,0.016590142415237468,1.0,,0.54935634
Top1,0.18955296,,,0.016663417517224405,1.0,,0.18955296
Glul,0.505973,,,0.016847849883990983,1.0,,0.505973
Capza2,0.4032006,,,0.016847849883990983,1.0,,0.4032006
Bag5,0.94057584,,,0.016922123063215562,1.0,,0.94057584
Fbxo22,0.5249389,,,0.017034071647584626,1.0,,0.5249389
Chchd2,0.12169612,,,0.017297815530908384,1.0,,0.12169612
Surf2,0.80715966,,,0.017297815530908384,1.0,,0.80715966
Erh,0.19195543,,,0.01748839031039752,1.0,,0.19195543
Psmb6,0.19807516,,,0.017680803404058268,1.0,,0.19807516
Mtf2,0.74211615,,,0.01783606724822064,1.0,,0.74211615
Hes6,0.35957158,,,0.017914146200121453,1.0,,0.35957158
Acads,0.44408178,,,0.018031826057156728,1.0,,0.44408178
Kcnq1ot1,0.54767084,,,0.01899788969643252,1.0,,0.54767084
Smn1,0.7016067,,,0.019288051605777668,1.0,,0.7016067
Gale,0.4386686,,,0.01949767436215543,1.0,,0.4386686
Puf60,0.4115618,,,0.020312498001312948,1.0,,0.4115618
Dbnl,0.42997864,,,0.02035619451126911,1.0,,0.42997864
Cbx1,0.26070237,,,0.02035619451126911,1.0,,0.26070237
Eif4e,0.46217605,,,0.020797689024128218,1.0,,0.46217605
Smad1,0.5376078,,,0.020797689024128218,1.0,,0.5376078
Prdx6,0.28866854,,,0.020842294182843873,1.0,,0.28866854
Ttc19,0.80315614,,,0.022125548453606043,1.0,,0.80315614
Snw1,0.36861584,,,0.022125548453606043,1.0,,0.36861584
Ahsa2,0.5192624,,,0.022889262879368967,1.0,,0.5192624
Ddc,0.8061509,,,0.022889262879368967,1.0,,0.8061509
Tff3,0.33322012,,,0.023725700960574452,1.0,,0.33322012
