,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Tpt1,0.19124606,,,1.3771714099659898e-22,5.820614964221256e-19,,0.19124606
Hsp90aa1,0.52559954,,,7.960031829860768e-19,1.6821537264453267e-15,,0.52559954
Dnaja1,0.57282937,,,1.1204661102378226e-17,1.8942600059680626e-14,,0.57282937
Ubb,0.2501793,,,6.9714750390978125e-15,7.366234813186726e-12,,0.2501793
Hsp90ab1,0.32881546,,,1.2064290184889542e-14,1.1331049436985699e-11,,0.32881546
Adh1,0.61526996,,,3.3366445205931e-13,2.35038801104779e-10,,0.61526996
Acot1,1.1152314,,,8.38854682140595e-12,4.727225752089633e-09,,1.1152314
Hmgcs2,1.6627927,,,1.609988247520518e-11,8.005429797818198e-09,,1.6627927
Hsph1,0.71998364,,,3.424190609394495e-11,1.523404380063772e-08,,0.71998364
Hspa8,0.22292593,,,1.5303886971043806e-09,4.6201341630797604e-07,,0.22292593
Cct7,0.3628379,,,2.2023445129557344e-09,6.419454540694767e-07,,0.3628379
Fkbp4,0.32959223,,,2.4112616734166005e-09,6.794131641796841e-07,,0.32959223
Mgst3,0.25271273,,,9.202836958246312e-09,2.1024751569744884e-06,,0.25271273
Psma2,0.29749566,,,2.126377395136917e-08,4.6087866977159895e-06,,0.29749566
Defa-rs1,1.9684258,,,2.2839019262191746e-08,4.826455745582671e-06,,1.9684258
Ahsa2,0.4973802,,,3.685355070683443e-08,7.080069639201623e-06,,0.4973802
Cyp2j6,0.96767837,,,3.9353165013536035e-08,7.392273419098225e-06,,0.96767837
Bcl2l14,0.36605132,,,4.133498774364385e-08,7.595753291239597e-06,,0.36605132
H3f3a,0.14305097,,,5.23605224308917e-08,9.417095661879309e-06,,0.14305097
Prdx6,0.32616207,,,6.648117931233742e-08,1.170761268181642e-05,,0.32616207
Ctsh,0.748009,,,8.581600163496489e-08,1.4508053236407164e-05,,0.748009
Plin2,0.5262244,,,9.450183542240407e-08,1.5529133737763146e-05,,0.5262244
Chchd2,0.10852336,,,9.552998395406171e-08,1.5529133737763146e-05,,0.10852336
Pebp1,0.2532225,,,1.0770088385201431e-07,1.7177274928322206e-05,,0.2532225
Fabp1,0.740686,,,1.1410990516649087e-07,1.7862426451339766e-05,,0.740686
Psmb2,0.32827178,,,1.9137253298959696e-07,2.8887000381447555e-05,,0.32827178
Psmd4,0.33650574,,,2.9611331211137977e-07,4.1033538152090055e-05,,0.33650574
Mtch1,0.33336648,,,3.043422366152547e-07,4.149362784046368e-05,,0.33336648
Bpgm,0.291003,,,6.402257799831922e-07,7.958571350291064e-05,,0.291003
Psmd14,0.46023938,,,6.55432823916677e-07,8.029527044300972e-05,,0.46023938
Cd63,0.36682758,,,6.788978854657766e-07,8.182310125788128e-05,,0.36682758
Psmc4,0.4302924,,,7.948881606935455e-07,8.958919496456721e-05,,0.4302924
Hnrnpk,0.28530043,,,1.2862153111986362e-06,0.0001359047253195259,,0.28530043
Gnb2l1,0.21100873,,,2.0308606956153556e-06,0.00021193661061773582,,0.21100873
Prmt1,0.46813807,,,2.197972310347312e-06,0.0002265787797483638,,0.46813807
Mettl9,0.5188598,,,2.401297765524953e-06,0.0002416448810950289,,0.5188598
Txnl1,0.32595962,,,2.889527682598703e-06,0.0002840136918721725,,0.32595962
Akr7a5,0.39773375,,,3.2016182853915043e-06,0.0003040817906338695,,0.39773375
Ahsa1,0.34352902,,,3.284552307119091e-06,0.00030467303498535466,,0.34352902
Rpl18,0.13117231,,,3.759087986223619e-06,0.0003275832035829716,,0.13117231
Eif5,0.20777327,,,4.316037903964833e-06,0.00037228028981851766,,0.20777327
Inpp5b,0.36786574,,,4.571096528950514e-06,0.00038639478959218696,,0.36786574
Agt,0.7387729,,,5.341246984783179e-06,0.0004219585117978712,,0.7387729
