,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Mrpl15,0.031472757254340344,0.7864754286322412,1.7854415496998868,0.07424182221734511,0.1894527741138669,-5.621102339550672,0.010645812
Lypla1,0.019016625670831386,0.6616693536243556,1.0926335514609806,0.2745999867026988,0.4700284067567245,-6.612495159313185,-0.0030519182
Tcea1,-0.03119820485917632,0.4141597775050947,-2.02962150185674,0.042440470875842774,0.1263957562668618,-5.158047209402879,-0.07038076
Atp6v1h,-0.0010429221918595941,0.20439699162835984,-0.09015200755014316,0.9281695261115307,0.9638632315208994,-7.202197013577543,-0.015640983
Rb1cc1,-0.021713974115074943,0.26053137570048357,-1.668254178717003,0.09531911567032753,0.2268183956003974,-5.822306056019917,-0.0326609
Pcmtd1,-0.016076721085565217,0.3692329481299897,-1.0827528934227,0.27896301201793317,0.4746897056133982,-6.623183952616205,-0.023172943
Rrs1,0.0317859828993809,0.24572990661046662,2.522803427243204,0.011668799758875255,0.04685482150800265,-4.04233610739343,0.031380966
Vcpip1,-0.016711481207084704,0.16709001080321173,-1.5476349973064631,0.12176461540276909,0.2705589566072582,-6.015155462684958,-0.026168987
Snhg6,-0.14186163782428546,0.41977350237506633,-9.125142177311622,9.69322693415675e-20,5.235065919588985e-18,33.915063915439674,-0.20997193
Cops5,0.03324759229673322,0.5708872209984082,2.026083272502467,0.04280181454791388,0.12736707725462695,-5.165179661754171,0.011714598
Cspp1,-0.025689390692833058,0.199384798836041,-2.2301640166856873,0.025774571482782907,0.08623697356490981,-4.733478319189995,-0.0472354
Arfgef1,-0.021062292868493884,0.5279114386877265,-1.2616387225233083,0.20712941824311695,0.39148487851278074,-6.414640021571122,-0.039945293
Ncoa2,-0.019965875124663076,0.12438479430955474,-2.1404472940767967,0.032360108798794494,0.10315227375195413,-4.928351568988815,-0.03338882
Tram1,0.011496855507325116,1.3694374218770233,0.6276712272038112,0.5302439828787064,0.7081138177999765,-7.010289654534771,-0.010019193
Lactb2,-0.013832471992998351,0.15058147225723467,-1.3705177735276473,0.17057822913389628,0.3431002346420254,-6.2721380098668105,-0.032423243
Terf1,-0.0001876597375751159,0.11129119514920002,-0.021211384605537335,0.9830777604434049,0.9909076725084383,-7.206015687253183,-0.00543678
Rpl7,-0.03713223706809551,4.0194744185273095,-3.3785957874535066,0.0007333583502157918,0.004619072567895288,-1.5341966941741516,-0.06669178
Rdh10,0.017087860410575688,0.0836012219576406,2.177866732269847,0.029456010245782507,0.09572647774997854,-4.848043945677756,0.018307252
Stau2,0.006472074281318969,0.1378756109694863,0.6642148443726698,0.5065791480405533,0.6902815208739469,-6.986809572432494,0.0063116774
Ube2w,-0.004540611017114343,0.19598348102897348,-0.40037613717131815,0.6888942045015461,0.8279925668800754,-7.126508775214811,-0.015585003
Tceb1,0.010506044177694452,0.9730339828410005,0.57612017863864,0.5645562482427604,0.7344406918088904,-7.041153974057288,-0.013185738
Tmem70,-0.0035381904096759694,0.4330487817781931,-0.23168761164759533,0.8167888058417768,0.9045295467294474,-7.179540237987814,-0.020073988
Ly96,-0.01655601472470049,0.15113725191986385,-1.6617332536235534,0.09662017004237353,0.22888385289579616,-5.8331014605507585,-0.0362341
Tmem14a,0.011212498853693173,0.31429066351264234,0.8059539541007138,0.4203023543941746,0.6143664186529271,-6.883173446479003,0.015009699
Smap1,-0.0010768914891397063,0.638829085979989,-0.06278203178182104,0.949942231869457,0.972931210308415,-7.204278978145157,-0.027945375
Sdhaf4,-0.036798492990473185,0.31429831625528076,-2.6884143626688246,0.007199684623384539,0.031701509860670406,-3.6135768885594746,-0.0667475
Fam135a,-0.018456261516771582,0.21691990184295437,-1.5414265205239372,0.12326742338960443,0.2728927326615379,-6.024690617542469,-0.02858098
Lmbrd1,-0.004241542498980823,0.19351974019370802,-0.3737982684854915,0.7085680345753613,0.8403649403837905,-7.136742716290867,-0.0047597704
