,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,3.4831717,,,0.0,0.0,,3.4831717
Defa24,1.3421429,,,0.0,0.0,,1.3421429
Gm15284,1.6671109,,,0.0,0.0,,1.6671109
Lyz1,1.8869123,,,0.0,0.0,,1.8869123
Hmgcs2,2.1241436,,,0.0,0.0,,2.1241436
Acot1,2.2967956,,,0.0,0.0,,2.2967956
Fabp2,1.1244975,,,0.0,0.0,,1.1244975
Itln1,1.5792289,,,0.0,0.0,,1.5792289
Gm14850,1.2924497,,,0.0,0.0,,1.2924497
Gm14851,1.6602098,,,0.0,0.0,,1.6602098
Dhrs4,0.7562838,,,4.0444480111590715e-307,6.461189536372579e-304,,0.7562838
Defa17,1.3399246,,,1.580202154456489e-305,2.314074371688657e-302,,1.3399246
AY761184,1.2307531,,,1.3700892487927296e-286,1.8520444899257412e-283,,1.2307531
Hsp90aa1,0.80085284,,,8.586074053284295e-280,1.0777362809883208e-276,,0.80085284
Scd2,1.8011158,,,1.0391683016053938e-277,1.2174203042741057e-274,,1.8011158
Ech1,0.8215814,,,3.5270164555258113e-264,3.8737662608096925e-261,,0.8215814
Nme1,0.4476842,,,8.244796796634797e-255,8.04921189484796e-252,,0.4476842
Acaa2,0.7252373,,,1.2584749018927718e-221,9.214658104567367e-219,,0.7252373
Creb3l3,2.8464472,,,5.440019383352584e-201,3.676825408602114e-198,,2.8464472
Etfb,0.5952847,,,5.125128137198988e-199,3.3356991390739927e-196,,0.5952847
Acadvl,0.84408116,,,9.360971563421386e-199,5.875012617285858e-196,,0.84408116
Acadl,1.0557426,,,1.413576027686923e-190,8.280257178180767e-188,,1.0557426
Gm7861,1.4737006,,,1.1779202978418096e-185,6.6772881916045546e-183,,1.4737006
Hspe1,0.25446033,,,3.7962171742965464e-176,2.0215431637549456e-173,,0.25446033
Gpx2,0.486455,,,1.3043080803199456e-171,6.741354675136e-169,,0.486455
mt-Nd1,0.256809,,,1.352350645689481e-171,6.789959399057498e-169,,0.256809
Ran,0.35689685,,,1.786204810088951e-170,8.483507331808954e-168,,0.35689685
Nhp2,0.44874513,,,6.168128012286884e-161,2.8524345673662474e-158,,0.44874513
Ckb,0.9256829,,,3.74780827172997e-158,1.6887239681823273e-155,,0.9256829
Mif,0.39391482,,,1.8014126365819982e-155,7.914056065663864e-153,,0.39391482
Hadhb,0.67367864,,,3.933163930763186e-155,1.6857924330561334e-152,,0.67367864
Eif5a,0.31712034,,,2.8422511873915857e-154,1.1892114313341032e-151,,0.31712034
Ranbp1,0.44931903,,,1.1326275356180838e-152,4.523559928049225e-150,,0.44931903
Hspd1,0.3826736,,,5.329946955412947e-147,2.0361556053798202e-144,,0.3826736
Erh,0.30070874,,,1.91340404267404e-144,6.862091682022633e-142,,0.30070874
Retsat,1.1138449,,,7.578833271237127e-144,2.663656741509e-141,,1.1138449
Defa20,0.66689974,,,2.277837039508857e-142,7.848711822605714e-140,,0.66689974
Tomm5,0.3762802,,,3.4757431650164056e-140,1.1746006661314095e-137,,0.3762802
Fkbp4,0.3969859,,,1.1287166679374045e-137,3.7424411331441527e-135,,0.3969859
Lrrc59,0.64390916,,,1.0104421277059561e-127,3.170803483960137e-125,,0.64390916
Chchd2,0.18724215,,,2.9537393655345473e-125,8.949321012161828e-123,,0.18724215
Tubb4b,0.81378394,,,1.339181266763191e-120,3.8579397378409112e-118,,0.81378394
Mrpl20,0.4325841,,,8.83205109821231e-115,2.387778983828999e-112,,0.4325841
Me1,2.2848766,,,3.220819266380102e-114,8.575675298196596e-112,,2.2848766
Cycs,0.36252928,,,1.649849727876047e-110,4.327284965368026e-108,,0.36252928
Eci2,0.64961314,,,3.952639708211639e-109,9.92281965605759e-107,,0.64961314
