,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Defa24,1.4670355,,,3.082775579680644e-40,5.4173615261727954e-36,,1.4670355
Gm15284,1.8010306,,,6.173128628230167e-40,5.424019469194436e-36,,1.8010306
Lyz1,2.182289,,,4.2695739552119214e-35,2.5009741038313036e-31,,2.182289
Itln1,1.810485,,,2.409497089957917e-24,1.0585523090457618e-20,,1.810485
Gm14850,1.6194319,,,6.491351745369033e-20,2.2676942850203986e-16,,1.6194319
Gm14851,1.959672,,,7.742653906630849e-20,2.2676942850203986e-16,,1.959672
AY761184,1.3475828,,,1.274563651737371e-16,3.199701007425831e-13,,1.3475828
Acot1,1.429101,,,4.155189492577082e-14,9.127393119132132e-11,,1.429101
Defa20,0.9059624,,,1.9034261722229712e-12,3.6960424558571186e-09,,0.9059624
Defa17,1.2343225,,,2.1032507004251514e-12,3.6960424558571186e-09,,1.2343225
Hmgcs2,1.0548879,,,3.116751193147964e-10,4.01373306496873e-07,,1.0548879
Gm7861,1.6186503,,,3.197647693026929e-10,4.01373306496873e-07,,1.6186503
Hsp90aa1,0.66633654,,,2.687696123973997e-09,3.1487255991063368e-06,,0.66633654
Clps,2.1561756,,,2.2281805647767536e-07,0.0001841529168634545,,2.1561756
Fabp1,1.4158539,,,3.2349537251311657e-07,0.0002471645296162173,,1.4158539
Defa21,0.8554397,,,9.525019052408004e-07,0.0006974298325331911,,0.8554397
Cd74,3.9639401,,,1.5478585718838986e-06,0.0010545242796820647,,3.9639401
Spink4,0.5581189,,,3.8964600476975e-06,0.0019563569262339474,,0.5581189
Gm15308,0.85742414,,,1.666776133230895e-05,0.007510322304940133,,0.85742414
Cacybp,0.5107084,,,1.882725381210634e-05,0.008271283281003617,,0.5107084
Defa22,0.7132618,,,2.7020336831379248e-05,0.011581179978971403,,0.7132618
Zg16,0.6035834,,,2.803414298409181e-05,0.011729618920462986,,0.6035834
H2-Ab1,3.7704084,,,5.03396207654602e-05,0.019658181238031827,,3.7704084
Hsp90ab1,0.13628532,,,8.370638035597529e-05,0.028475832435374614,,0.13628532
mt-Nd1,0.17835529,,,9.87022824139083e-05,0.03153627652472019,,0.17835529
Eif5,0.33924612,,,0.00012500889160975312,0.038727592654579146,,0.33924612
Plin2,0.49683982,,,0.00015115905131655034,0.04354619686533999,,0.49683982
Tuba1b,0.72744995,,,0.00017475579352078837,0.04953199289581958,,0.72744995
Eif2s1,0.4605961,,,0.0001858939474005801,0.0502571436564676,,0.4605961
Tff3,0.52951306,,,0.00023198120363412676,0.06176675290094711,,0.52951306
Jund,0.5411653,,,0.00027772556234901007,0.07177163686998755,,0.5411653
Ranbp1,0.34048906,,,0.0002990221089196701,0.07506736457207659,,0.34048906
Eif1ad,0.6761816,,,0.0003646324230295408,0.08456768579063256,,0.6761816
mt-Co3,0.13067216,,,0.00036573972116816,0.08456768579063256,,0.13067216
Rpl5,0.101005815,,,0.0003827310316659816,0.08734717427878305,,0.101005815
