,logFC,P.Value,adj.P.Val
Rpl41,0.2250826,1.9161058899837958e-33,2.8059774003904373e-30
Defa24,1.5408138,3.456844768130982e-140,6.074713311036574e-136
Serinc3,0.7743094,2.692034986583627e-26,3.153808721282272e-23
Gm15284,1.7847664,2.3515140998765247e-131,2.066157863856508e-127
Oat,1.0550956,5.385563334229305e-25,5.915031529525723e-22
Lyz1,2.0478199,1.0974013118394672e-118,6.42821108431832e-115
Gm42418,0.7755211,4.5484131420346225e-24,4.440514674720801e-21
Fabp1,2.5922005,5.042885479881848e-90,2.215465663449093e-86
Rpl35a,0.17210422,3.2622611740613482e-21,2.7298912196085748e-18
Gm14851,2.0317624,1.282993470816641e-75,4.5092088525321667e-72
Rps29,0.17634347,2.504684766852307e-19,2.0006738821770722e-16
Itln1,1.7318497,3.9666691368365945e-72,1.161771279027158e-68
Rpl36,0.2074374,1.030649203251315e-18,7.874608021189286e-16
AY761184,1.5003444,4.946671248140065e-58,1.2418264834795053e-54
Clca3b,1.0139295,1.1643452018326035e-18,8.525432596585143e-16
Defa17,1.5512573,5.940526954962285e-57,1.3049110022444028e-53
Rpl38,0.2179518,2.2663615293741996e-18,1.5317988906035695e-15
Gm14850,1.4032216,2.4508987134388585e-56,4.785515899029006e-53
Sdc4,0.86518073,4.363536106543077e-18,2.8400155555659812e-15
Acot1,1.3232217,1.1921517188196506e-39,2.094968215481772e-36
Smim24,0.64015824,4.724203362856566e-18,2.9608778721308972e-15
Defa20,0.9432026,3.072733292558822e-37,4.908831104557835e-34
Rps28,0.19083449,4.886215119319184e-18,2.9608778721308972e-15
Gm7861,1.5037966,2.084008276456565e-30,2.817098264782401e-27
Atp1b1,0.7104884,1.6617641353176198e-16,9.420058435463397e-14
Hmgcs2,1.2651057,2.6858860819251053e-28,3.3713625798335628e-25
Slc5a1,1.2485003,2.0035539130480885e-16,1.1002641535623143e-13
Defa21,0.99731386,2.2746512640400507e-24,2.3513203919397536e-21
Slc12a2,0.857189,2.6049198430715536e-15,1.3463604824204826e-12
Chchd2,0.21311913,8.51095918501547e-23,7.871741355698782e-20
Rpl37a,0.1510702,3.1400126170850156e-15,1.5765554777152849e-12
Defa22,0.8940187,1.5706954419003082e-21,1.3800915500257058e-18
Cyba,0.8625757,4.598743216532695e-15,2.235422883470263e-12
Mtch1,0.7092576,1.2666058337703264e-18,8.903225726738379e-16
Cdk6,1.127485,8.82301927596376e-15,4.080182045697662e-12
Hsp90aa1,0.5353095,4.91676242575241e-17,2.880075536924903e-14
Rpl9-ps6,0.27478573,1.2973124100489108e-14,5.6994177454473775e-12
Ubb,0.3108182,1.0872339845395598e-15,5.789685700095056e-13
Cdca7,0.91099125,2.014409597960378e-14,8.342360294521325e-12
H3f3b,0.23742446,4.70668905072553e-15,2.235422883470263e-12
Rps27,0.15556575,2.04132187255686e-14,8.342360294521325e-12
Tubb2b,0.8840657,1.1567984447471709e-14,5.2124151460364184e-12
Ppp1r1b,0.7920976,2.293435989773732e-14,8.95612236628751e-12
Clps,1.1208849,1.3332516854471166e-14,5.7144467971615074e-12
Wdr89,0.28995973,2.596182484950055e-14,9.917981480005939e-12
Tpt1,0.1320256,2.1113490507000352e-14,8.432440197261754e-12
2200002D01Rik,0.95465976,3.126594646389223e-14,1.169013781297826e-11
Defa-rs1,1.5475713,8.887766952534899e-14,3.237726951282682e-11
Hes1,1.0758382,9.027975906951085e-14,3.237726951282682e-11
Dnaja1,0.5157656,2.308009558254663e-13,7.510861475409109e-11
Gm8730,0.23102944,9.891781315849575e-14,3.476565461268492e-11
Defa3,1.5968335,6.43489308083456e-13,1.9838662475351882e-10
Cldn15,0.8278873,1.1090569052815703e-13,3.821462156179026e-11
Tm4sf4,0.7324754,1.1826016441717775e-12,3.4636431155051077e-10
Trim2,0.9093976,1.3098185204193926e-13,4.426430934486536e-11
Gm15308,0.695644,2.5601059646470904e-12,7.256248728506987e-10
Gas6,1.2951715,2.142744069611033e-13,7.104611610429186e-11
Akr1b8,1.5730739,5.458095203665513e-12,1.4756170309848316e-09
Kcnq1,1.0500352,3.229203337211413e-13,1.031759822633021e-10
Gnb2l1,0.12989728,6.34052893558088e-12,1.663016641566609e-09
Pabpc1,0.28832605,3.329618877532185e-13,1.0448462952655909e-10
