,logFC,P.Value,adj.P.Val
Rpl41,0.26702967,7.955752370501211e-30,1.9972348058116826e-26
Fabp1,3.3025157,4.9393633758612e-76,8.679943260400886e-72
Wdr89,0.3599822,1.0978833832384587e-23,1.9293104693649435e-20
Gm15284,1.40694,4.823171512471271e-58,4.2378796494328825e-54
Rps28,0.3018579,3.1172887183353613e-21,4.5650095539422755e-18
Acot1,1.8858709,6.545565337329223e-47,3.8341739890962144e-43
Gm42418,0.699677,6.7434006453642084e-21,9.11552150315271e-18
Hmgcs2,1.6109515,3.09031538909001e-44,1.3576528083119687e-40
Rps27,0.24884163,1.410251331659026e-20,1.770167617946005e-17
Lyz1,1.4166547,9.893005839588818e-31,3.476995832381886e-27
Rpl23a,0.202745,4.548753200196988e-20,4.995952499191354e-17
Fabp2,0.72724515,7.71207074237301e-30,1.9972348058116826e-26
Rpl37a,0.2489897,3.606213627340812e-19,3.3353680038557936e-16
Gm14850,1.1149158,2.2628076651410795e-29,4.970539887440524e-26
Rpl35a,0.1883067,3.438766395877474e-19,3.3353680038557936e-16
Gm14851,1.4821488,4.864925267338091e-27,9.499036858103585e-24
Rpl34,0.19542804,4.130496662408538e-18,3.629260892425262e-15
mt-Nd1,0.31261855,3.086010870936091e-22,4.930042639541812e-19
Serinc3,0.4601147,4.755609039897498e-18,3.979538936100893e-15
Scd2,1.077827,2.4713563581086794e-20,2.8952763520695887e-17
Rpl36,0.24620523,1.7065760600589077e-17,1.3631664137915993e-14
Creb3l3,2.304581,1.8893030990252972e-19,1.952983727010091e-16
AY036118,0.76074153,2.6922781702901936e-16,1.8196693956349835e-13
Acaa2,0.5686459,4.265078376545185e-17,3.258705317870806e-14
Rplp2,0.1879323,3.5544604361610828e-16,2.3134271572095816e-13
AY761184,1.123229,7.476722667388775e-17,5.47451864308429e-14
Rpl38,0.22462742,7.884411493981949e-16,4.948312970848028e-13
Tubb4b,0.7452248,1.178005211597499e-16,8.280434233361138e-14
Rpl27,0.22243159,2.0377381080665566e-15,1.2347990266570207e-12
Tmem238,0.438973,7.687839017949168e-15,4.093890759467295e-12
Rpl39,0.20452178,2.300868063512677e-15,1.3477718160036092e-12
Gm7861,1.1821355,1.2345483659396703e-14,6.380799539605243e-12
Rpl37,0.21573223,3.770266434338148e-15,2.1372545822782025e-12
Defa24,0.87796634,1.5941275042567743e-14,7.781556286751192e-12
Gm8730,0.24467908,4.2989604004745305e-15,2.3608009724230912e-12
Me1,1.7260787,4.988814035416163e-14,2.3070639222202166e-11
Rpl9-ps6,0.26666325,1.4284824278781654e-14,7.1722062014579996e-12
H2afz,0.35482997,1.4444182361005265e-12,5.180155441427459e-10
Rpl22l1,0.2230335,2.0457443660401888e-14,9.716179930925469e-12
Ech1,0.45934838,1.7221023968475425e-12,5.933824592118012e-10
Rps29,0.1974407,5.918487988149667e-14,2.6668099850193357e-11
Mgll,1.6271801,2.732014076500824e-12,9.05843082383943e-10
Rpl35,0.2128296,8.822159548002934e-14,3.875795243426389e-11
Retsat,0.90372944,5.497896960392002e-12,1.6969117470419507e-09
Rps18-ps3,0.3576539,1.7651549561051382e-13,7.565626352106243e-11
