gene,p.value,logfc
Gm42418,1.6026679439413106e-73,0.6880508
Gm15284,0.0,2.026033
Gm8730,1.1457070399329465e-71,0.36568055
Fabp1,0.0,2.6635482
Rpl37a,1.852576387800116e-65,0.26790234
Gm14851,0.0,2.1322942
Rpl41,5.763405570601176e-65,0.26356593
Lyz1,2.4329973653444386e-267,1.9976721
Rpl9-ps6,1.1064649253481646e-64,0.3730327
Gm14850,4.562439188575693e-264,1.5905883
Serinc3,1.2609796596948903e-62,0.4859424
AY761184,3.0383157557082412e-232,1.6574343
Rps27,1.6332720899464344e-62,0.27818635
Defa20,1.2155887899080576e-158,1.0391413
Scin,1.718505433696446e-60,0.9234946
Gm7861,5.704517585350173e-134,1.7082461
Rpl36,1.6173908082710646e-57,0.2877168
Defa24,1.1756558428444376e-126,1.318787
Rpl27,6.108415947804559e-57,0.30797914
Hmgcs2,4.8613462733072105e-121,1.7072089
Rpl39,3.4055671526244355e-55,0.2647411
Defa22,7.448497175834325e-119,1.114873
Rps28,1.212634799653234e-53,0.288599
Defa21,4.977289011088437e-96,1.0182353
Rpl34,3.888672931327268e-53,0.26229733
Fabp2,5.627940974713385e-83,0.4714845
Rpl35a,2.0443080551820125e-51,0.24557115
Hsp90aa1,9.07252189943904e-82,0.80671996
Rpl38,3.0135432279697345e-51,0.25283003
Gm15308,1.543867864112481e-81,0.9575739
Rps18-ps3,1.7029475207247454e-50,0.4587764
Defa17,1.8607745846489465e-79,1.2854793
Rpl37,1.053507771278796e-49,0.25559098
Defa-rs1,1.61188056037043e-68,1.6629356
Ceacam1,2.8378542074384295e-49,0.6288038
Hsph1,1.287013041826805e-64,1.1222267
Gm9843,1.1226407045964493e-46,0.31639516
Dnaja1,3.705614231090615e-64,0.7254593
Rpl10-ps3,2.0185062414135345e-44,0.26867986
Clps,4.528013373731531e-61,1.1435083
AY036118,4.8839549697807014e-43,0.6629415
Tubb2b,2.0767764564449528e-57,1.0756661
Rpl23a,8.589786830763045e-42,0.22648017
Tm4sf4,2.4729146313852553e-57,0.74795604
Rps27rt,3.146500778536372e-41,0.42542052
Mgll,3.424249574871115e-54,1.4302125
Rpl35,1.2623167374559414e-38,0.25533
2210407C18Rik,1.7122112879626474e-52,1.145356
Smim24,1.7204999961943027e-38,0.464579
Fcgbp,9.063781162269663e-52,0.5257162
Rps29,5.660323322476417e-38,0.19482762
Cfi,4.235645638430844e-51,1.1427498
Wdr89,1.5869630549643418e-37,0.30393925
Ctsh,5.663992271870263e-51,0.6996372
Rps26,1.778510068758802e-37,0.23210268
Acot1,3.6881425875746438e-50,1.7228374
Fau,7.007774351449094e-37,0.16505778
Ly6e,4.315225175472832e-50,0.58645684
Rpl6l,2.4170177604863882e-36,0.35290053
Ldha,5.499687386417263e-49,0.38220775
Slc12a2,8.460880143611475e-36,0.5021865
Gsta1,2.0237005960368684e-48,1.3583376
Rps12-ps3,2.0869256725813705e-35,0.26840508
Creb3l3,1.6568030510348217e-44,2.4918153
Gm2000,3.951586045142209e-35,0.36975798
Reg4,9.411445445116731e-45,1.0707996
Rplp2,1.5398925917591123e-34,0.19817823
Apoa1,1.322940665917544e-44,1.2663743
Rpl36a,1.8520288946855738e-34,0.22951563
Defa26,4.7474839744178987e-42,1.3558165
Rpl32,2.7903931014004922e-34,0.19223748
Ubb,1.4304664937478342e-40,0.24754399
