,logFC,P.Value,adj.P.Val
Serinc3,0.63694024,3.0989328419751873e-98,3.6305031221353314e-95
Fabp1,3.117532,0.0,0.0
Plac8,0.4163815,2.023857530453272e-83,2.092073434273844e-80
Lyz1,1.8176438,8e-323,6.94577e-319
Txnip,0.92566705,7.096068421556383e-83,6.927733909556129e-80
Defa24,1.1895636,1.6383e-320,9.5967425e-317
Rpl41,0.18466744,2.017490890335396e-80,1.8659667060981004e-77
Gm15284,1.4458227,9.67120256124669e-299,4.248801065219702e-295
Pigr,0.4350496,3.1385309609727308e-80,2.75767022885869e-77
Itln1,1.367258,3.1689866629820014e-150,9.281433771430452e-147
Smim24,0.71150863,2.3380455356479096e-79,1.9564987713305104e-76
Fabp2,0.90407157,6.3160976388227066e-152,2.2198556761406284e-148
Oat,0.44224828,4.91310039869531e-77,3.924450604830577e-74
Gm14850,1.2151961,1.7654691745660127e-146,4.432084257806935e-143
Sepp1,1.4626405,3.3169406070345054e-69,2.2418691264391294e-66
Hmgcs2,1.1900325,9.350898673345242e-128,2.0540417798336992e-124
Zfos1,0.51421815,6.260785013145422e-68,3.929313394143018e-65
Defa17,1.243271,1.198223864160474e-121,2.3395986627657785e-118
Eef2,0.24068542,1.2714567237676116e-62,7.207519034441367e-60
Gm14851,1.4143901,5.182240924316564e-120,9.106751976301498e-117
Rpl9-ps6,0.24282941,5.253290304373549e-50,1.9641717131650295e-47
Acot1,1.0537755,3.6906244005499665e-117,5.895940235533142e-114
Rpl3,0.14861931,1.0730624357171884e-48,3.697436506442775e-46
AY761184,1.0910673,9.766178003657259e-106,1.2258646147019216e-102
Rpl36,0.15705195,6.918781568199176e-46,2.210613609053893e-43
Mif,0.51108044,2.066867913562515e-106,2.793928449618006e-103
Rps27,0.1679605,2.0944903003239946e-45,6.45727685045501e-43
Nme1,0.5519661,1.5603790992966005e-106,2.2850451593282637e-103
Ypel3,1.0047414,1.2288372169704817e-44,3.5990594023037125e-42
Hsp90aa1,0.65836436,5.534496891835654e-84,6.078607117514246e-81
Gm8730,0.20434523,1.0697154171374053e-43,2.9838268294215273e-41
Ranbp1,0.55755913,1.4282423540051366e-76,1.0912392559535769e-73
Rpl37a,0.14456485,1.1400223096911163e-42,3.082094161261844e-40
Scd2,1.3589072,1.3564674149003108e-75,9.932167450851318e-73
Rpl15,0.14357819,9.66937620496636e-43,2.654999188279279e-40
Gm7861,1.2710673,5.545673968604934e-69,3.60941217223313e-66
Sord,0.61434615,5.590277729111177e-41,1.4446757431422164e-38
Ran,0.39692798,8.070254312224236e-70,5.67274316114866e-67
Clca3b,0.36815345,2.145887888758038e-40,5.387098267020714e-38
Eif5a,0.3908721,7.864550111067807e-66,4.765646175923951e-63
Pdcd4,0.5475906,3.1622359683783134e-40,7.826756714410155e-38
Ppia,0.23473296,1.664081381131689e-63,9.747634036875724e-61
Rpl23a,0.11208724,7.43665885630662e-40,1.7660054875929219e-37
Set,0.41116154,5.6784026205526355e-62,3.118330289092858e-59
Sis,1.2952985,1.496635296709879e-39,3.415632736244507e-37
Chchd2,0.22176541,5.186164203428647e-61,2.7617110165712608e-58
Rpl35a,0.10800745,2.1719358218990104e-38,4.7120281726211494e-36
mt-Nd1,0.22587568,2.42688995960471e-59,1.25434521353334e-56
Btg1,0.51825345,8.631109464851373e-38,1.784405725009802e-35
Acaa2,0.56787884,1.814073086353634e-58,9.108201813283544e-56
Fau,0.10890166,7.719046895956222e-37,1.524121473063356e-34
Tmem238,0.59802866,5.5494707576441186e-58,2.70891248955778e-55
Rpl27,0.15948842,3.510945902574901e-36,6.634177671607391e-34
Acadl,0.8603373,5.0251248335867793e-57,2.386662667584337e-54
Rpl10a,0.10684655,5.196460244481881e-36,9.71461658258299e-34
Defa20,0.620144,1.2552107139310796e-55,5.655850737413041e-53
Clta,0.2908767,8.502153887737644e-36,1.5727194765180383e-33
Nhp2,0.4801253,1.1138659197681798e-55,5.151043633706901e-53
Rpl34,0.120525785,2.489957360588731e-35,4.557918822669352e-33
Cycs,0.4715419,4.395919072914271e-55,1.931237146708062e-52
AY036118,0.58260876,4.395883745135657e-35,7.88253725033356e-33
Dhrs4,0.50342125,4.861663055759102e-55,2.0837562165574318e-52
Rpl39,0.12425512,1.4803396615243964e-34,2.6276776638351735e-32
Erh,0.3321356,6.441971066374366e-54,2.6953513702237315e-51
Rpl6l,0.26399198,3.360560676627009e-34,5.847042848551132e-32
Hspe1,0.2539822,5.981324251977677e-52,2.444414211162877e-49
Pabpc1,0.17339408,4.286984904840577e-34,7.385802522819947e-32
Ldha,0.46218356,1.888958652811364e-51,7.54424327405775e-49
Rps26,0.1490028,1.4415862393807195e-33,2.3899051872299417e-31
Atp5g1,0.29026425,4.9214232081930555e-50,1.9218704452794793e-47
Mxd4,0.84498996,3.1072566990186366e-33,5.0095249515462845e-31
Etfb,0.4562611,5.091318390712247e-50,1.9449943060866594e-47
Rpl10-ps3,0.17844756,3.1154617667388577e-32,4.8449566041506144e-30
Mgll,2.7062383,7.617413728904476e-49,2.677216229160767e-46
Rps18-ps3,0.26496953,1.4592680312227116e-31,2.1731963654810774e-29
Calr,0.47728613,6.695198279249308e-50,2.4511399866926685e-47
Rpl27a,0.08568655,5.4197195927091174e-31,7.93672770022311e-29
Ech1,0.5130743,5.414203441127531e-49,1.9417101443047777e-46
Rps28,0.14512277,6.236274478234344e-31,9.057029041819184e-29
Creb3l3,1.8188184,8.263875897086057e-48,2.7927132911441015e-45
Hdac11,0.7553551,9.244650048931643e-30,1.2691893383584043e-27
Hint1,0.22903311,5.122558112615422e-47,1.6984662964715245e-44
Ftl1,0.18015867,1.1238413476511225e-28,1.4106617144480838e-26
Ppa1,0.46657294,6.511335280680104e-46,2.1189573127294718e-43
Gm9843,0.19807589,1.37442277037703e-28,1.689002191876612e-26
Ppp1r14b,0.4875947,1.19640787160498e-45,3.754370629948985e-43
Rpl22l1,0.15492778,2.822332261460198e-28,3.444225335461115e-26
Tagln2,0.47860405,2.5486496805265985e-45,7.721969109636881e-43
Npm1,0.14700139,7.666599017430094e-28,9.041956008946244e-26
Srm,0.8718121,7.03148232916475e-45,2.0943091350917318e-42
S100g,1.2062626,7.361085968655832e-28,8.799752634502649e-26
Clps,1.3263607,3.608719498961351e-44,1.0396070123811119e-41
Arid5b,0.58590055,1.0271298512077738e-27,1.1874837417943558e-25
Snrpd3,0.4787146,4.857427023451281e-44,1.3767671787598282e-41
Wdr89,0.17115714,1.7044669237509588e-27,1.9324256291016513e-25
Nolc1,0.62740606,1.7303591875952897e-42,4.607212424789701e-40
Gm42418,0.43486774,1.6753768462889593e-27,1.9117790467425898e-25
Mpc2,0.39215308,1.5058786595596694e-41,3.9496724902152346e-39
Tnfsf10,0.8678363,1.9879965812501726e-27,2.2394271745070053e-25
Dtymk,0.55187434,9.099793031710206e-41,2.3175458398006296e-38
Tsc22d1,0.5534121,2.465370433398365e-27,2.7594875558031512e-25
Lyar,0.5799914,3.57964993705106e-40,8.736831714416427e-38
Rpl32,0.08310655,4.0837037069524204e-27,4.513391524671376e-25
Acadvl,0.6058058,7.79652973867681e-40,1.826778894636901e-37
Rps18,0.08084963,7.853892800519139e-27,8.57245081885235e-25
H2afz,0.41312233,7.282144556022477e-40,1.7530017299038765e-37
Rps2-ps6,0.2903214,1.0908680599573494e-26,1.1618075404624547e-24
H2afy,0.4019382,1.0725450842667458e-39,2.4799782586604636e-37
Slc12a2,0.24966642,4.3010311851830557e-26,4.4460012363071665e-24
Hspd1,0.3113474,3.457960639221599e-39,7.79060798885143e-37
Eef1a1,0.101683505,5.280108242307068e-26,5.394612915236169e-24
Nop56,0.5139807,5.492845827832027e-39,1.2218453130695216e-36
Rpl37,0.11177776,5.270618268274411e-26,5.394612915236169e-24
Prdx1,0.25782466,1.2795040147170102e-38,2.8105905063277524e-36
Rps27rt,0.29572344,6.605879327085517e-26,6.71012239392334e-24
Cyc1,0.33686075,2.740530083508413e-38,5.8730896533528464e-36
Erbb3,0.5928807,7.020265667724664e-26,7.090064860857789e-24
Ahsa1,0.50187683,5.956121293072953e-38,1.261047222688807e-35
Uqcrh,0.11980193,9.887719409139556e-26,9.92896532438911e-24
Tomm5,0.32603654,7.213239293468427e-38,1.5090268345728652e-35
Rpl23a-ps3,0.1774473,1.046038432152663e-25,1.0385329586564265e-23
Nudc,0.45610008,9.414268951086688e-38,1.9108164981894407e-35
Slc5a1,0.5974984,1.0217481181341736e-25,1.0201806636347632e-23
Dctpp1,0.4372301,9.460025911482465e-38,1.9108164981894407e-35
Rpl22,0.11066397,1.2056935167895831e-25,1.1903175376709744e-23
