,logFC,P.Value,adj.P.Val
Cox6c,0.30912262,3.7826196206924823e-10,5.539331216202417e-07
Gm15284,1.8010306,1.0153485240264283e-34,1.7842719612716425e-30
Sis,1.0746984,1.1912342013329803e-08,1.3955705746682977e-05
Defa24,1.4670355,7.991524616406373e-33,7.02175310420546e-29
Cox8a,0.25339058,3.708056623616526e-08,3.833039943930189e-05
Lyz1,2.182289,1.8617424060953567e-29,1.0905466434104569e-25
Pkm,0.63890564,4.5352441069619934e-08,4.1946234048233215e-05
Itln1,1.810485,1.2416521177161054e-18,5.45488816615628e-15
Rpl41,0.20814896,6.124215749455034e-08,5.381042168258665e-05
Gm14850,1.6194319,1.0857795751415736e-16,3.8160808947925745e-13
Wdr89,0.3458574,1.319472444323867e-07,0.0001008134315830579
Gm14851,1.959672,2.7341325542740654e-15,8.007818562709692e-12
Gm42418,0.65779066,1.765633806318375e-07,0.00012928117866013668
Acot1,1.429101,5.0679402038936715e-14,1.2722701886146214e-10
Lrrc26,1.5916324,1.9164986179037626e-07,0.00013471452084969128
AY761184,1.3475828,1.8400190176815e-12,4.041831774714625e-09
Uqcrh,0.20264283,6.755422743997655e-07,0.0004565886303087338
Defa17,1.2343225,7.760538973247666e-11,1.5152883486320136e-07
Ezr,0.6816273,1.1077655473640076e-06,0.0007209912579195447
Defa20,0.9059624,9.786225351294477e-11,1.7197333809829784e-07
Cox6b1,0.2669584,1.2952900068300665e-06,0.0008070631043528829
Hmgcs2,1.0548879,1.1286678202624935e-10,1.8030981459520726e-07
S100g,1.9047362,1.3318630869079613e-06,0.0008070631043528829
Cd74,3.9639401,4.627333741613208e-10,6.255087372412993e-07
Gapdh,0.3624234,1.726664118410781e-06,0.0009787957597687952
Gm7861,1.6186503,8.262762280510036e-09,1.0371537253957347e-05
Eno1,0.60653764,3.1891842455922766e-06,0.0016982889317513053
H2-Ab1,3.7704084,2.55960671494067e-08,2.8112480501032746e-05
Tsc2,1.7405254,6.204318409553295e-06,0.003206720217972943
Clps,2.1561756,3.949731506647578e-08,3.856035098128771e-05
Nptn,0.98972696,7.628747092483453e-06,0.003772662088794069
Fabp1,1.4158539,9.926410534224741e-08,8.306514872282447e-05
2610507B11Rik,0.9355475,8.344580939345554e-06,0.003963224887759984
Hsp90aa1,0.66633654,1.2006653145906224e-07,9.590587078773186e-05
Gfpt1,0.77971137,1.33854188475989e-05,0.00619005172128567
Defa21,0.8554397,1.4447180057263046e-06,0.0008462676504876117
Slc5a1,0.80041003,1.599333354063808e-05,0.0072064320592213574
