,logFC,P.Value,adj.P.Val
Guca2a,1.0629605,2.2057648576380835e-15,3.523809622115822e-12
Fabp1,2.1270168,9.526795550939165e-75,1.6741437821665393e-70
Plac8,0.84280115,2.788958103508822e-14,4.084196729413378e-11
Agt,1.9714857,1.4055803596861339e-50,1.2350131830382215e-46
Gm42418,0.7067322,3.8939426770940376e-14,4.887732476040966e-11
Hmgcs2,1.6634755,3.029037397022182e-32,1.7743091392623603e-28
Oat,0.89026225,7.752182850774986e-14,9.081940615777923e-11
Blvrb,1.0600682,7.596323534360846e-23,3.3372548367330785e-19
Rplp1,0.741801,1.3363987059703908e-11,1.3814432035304516e-08
Hsp90aa1,1.038737,1.055442775328642e-21,3.709459178170045e-18
Rps20,0.56733954,2.527393278894217e-10,2.1149467661908608e-07
Pnliprp1,1.2347612,1.747436983372178e-21,5.117951684799881e-18
Rpl39,0.592832,3.0122091260119657e-09,1.825294861083044e-06
Pnliprp2,1.0152367,6.274089510442506e-19,1.378182187087577e-15
Gm10073,0.8703061,3.6355201027132594e-09,1.9964685864056285e-06
Apoe,1.858336,2.339208865891129e-19,5.872416771472115e-16
Rps26,0.5290099,3.814972613917802e-09,2.031530719526592e-06
Creb3l3,2.6418247,6.8431816811421196e-18,1.336169240919005e-14
Rpl36,0.5715606,8.148220064836915e-09,3.7681229262994498e-06
Lyz1,0.9763653,1.3561479492994018e-16,2.3831587913038384e-13
Rps28,0.6422734,9.016332951711485e-09,4.062667152831434e-06
Dnaja1,0.88162965,3.6921999183448955e-14,4.887732476040966e-11
Rpl10a,0.51433516,1.723700748215246e-08,7.3879495727772e-06
Clps,0.56179863,2.884156565879738e-13,3.16770520826279e-10
Tmsb10,0.7408689,2.6165691182324654e-08,1.0450220253340709e-05
Espn,1.0460103,2.2833593312650694e-11,2.2291929737956146e-08
Rpl36a,0.5819401,2.9369604984181912e-08,1.1469157075267306e-05
Itln1,0.67872626,7.826188060646856e-11,6.876480139487359e-08
Rps15a,0.50274205,3.8891567735362035e-08,1.4099063027766669e-05
Apoh,1.4825655,7.70086922861691e-11,6.876480139487359e-08
Rpl27,0.53773326,4.947060470289827e-08,1.6718210316231368e-05
