gene,p.value,logfc
Rpl41,4.586179893871714e-37,0.29233694
Defa24,9.278233832991659e-113,1.720882
Gm42418,8.246898576230906e-23,0.9511169
Gm15284,1.8160917031651427e-108,2.0017526
AA467197,1.225212867604681e-18,1.3681238
Lyz1,5.523579243584957e-96,2.2962613
Nptn,1.7447059594054846e-18,1.2611356
Itln1,2.9199622652188606e-63,2.0194452
Crip1,1.472949457771671e-14,0.79274744
Gm14851,8.555219376553266e-57,2.254903
Abhd2,2.0615977551589077e-14,0.8450162
Gm14850,4.890218120150784e-54,1.7508442
Ckmt1,1.34397045335094e-13,0.781901
AY761184,6.418850629343776e-44,1.5945032
Sis,2.6227098688044805e-13,2.2359293
Defa17,1.664597131857656e-41,1.6036656
Serinc3,3.185825781813832e-13,0.8715862
Defa20,3.250272432411697e-29,1.0418745
Cox8a,1.94474152115256e-12,0.3076528
Gm7861,7.627147948472699e-25,1.7581655
AY036118,9.553429238559185e-12,0.73752004
Clps,2.3878692821477546e-19,2.145612
Aldob,2.6016895583313168e-11,1.1422846
Defa22,1.577889153621619e-19,1.0234373
Anxa2,4.473120627868978e-11,0.8192159
Tpt1,9.305895357380624e-19,0.19124606
Cox6b1,1.8132363430960684e-10,0.24282095
Ang4,5.741839080925159e-18,1.2826076
Rpl30,3.685236030996626e-10,0.16018914
Dnaja1,1.0995546111616008e-17,0.57282937
Fam117b,6.200498835342044e-10,0.8668311
Hmgcs2,2.342373906972408e-17,1.6627927
Ptpn18,7.078053953389392e-10,0.7508652
Hsp90aa1,3.4590117799659195e-17,0.52559954
Kit,1.412069085482508e-09,0.68202764
Defa21,3.021474769884833e-15,0.96939063
Ceacam1,2.797286259150257e-09,0.51515806
Gm15308,1.963616449294872e-14,0.8877851
Cox6a1,2.9587997208546465e-09,0.2560111
Acot1,2.1356176941147556e-14,1.1152314
Ndufa1,3.8476421235680135e-09,0.43057674
Hsp90ab1,2.3670950589310677e-14,0.32881546
Man2a1,5.352273515533353e-09,0.7976415
Ubb,2.3126552204779936e-14,0.2501793
Rps29,7.509932155348728e-09,0.16785763
Hspa1a,6.538484329353769e-14,1.7997195
2200002D01Rik,7.744139869819465e-09,0.60708237
Defa-rs1,7.655317747754924e-14,1.9684258
Cox7a2,8.847499757530815e-09,0.26903313
Hsph1,1.2863361524855087e-11,0.71998364
Fam234a,1.45225359169151e-08,0.7868479
Defa3,4.641009076759382e-11,1.8479995
Rpl39,1.564810535379899e-08,0.19786729
Cyp2j6,2.692693479535997e-10,0.96767837
Sepw1,1.9524777055619535e-08,0.3975767
C2cd4b,5.623952940760506e-10,3.830538
S100a10,2.3691230994101555e-08,0.53292656
Defa26,1.0838541379283418e-09,1.6828756
S100a11,2.6867960014853236e-08,0.5635595
Hspa1b,1.5334489360016535e-09,1.6961919
Add3,2.9738930342115664e-08,1.1603951
Mgst3,9.698099047314998e-09,0.25271273
Cwh43,3.5285392347955616e-08,1.1153824
Ctsh,1.0527696196007968e-08,0.748009
Oat,4.069941123662725e-08,0.5621137
Cct7,1.0198079086175258e-08,0.3628379
H2-T23,5.606853047708571e-08,1.0258242
Fkbp4,1.659144307501981e-08,0.32959223
Ndufa6,6.499452756356748e-08,0.3083524
Hspa8,2.9214433141826937e-08,0.22292593
Zfp36l2,1.2427037449703247e-07,0.73586154
Adh1,3.4327707430879126e-08,0.61526996
Camk1d,1.6168855397184715e-07,0.847503
Psma2,3.839575453204898e-08,0.29749566
Gm26917,1.7385932806758417e-07,0.729932
Bcl2l14,6.320874998781306e-08,0.36605132
Kcns3,1.8982980088407943e-07,2.2209074
Pebp1,7.556395343760408e-08,0.2532225
Rmnd5a,2.341093002758932e-07,0.68697464
Psmb2,1.4023733168162443e-07,0.32827178
Slc5a1,2.481439904594222e-07,1.7567282
Psmc4,1.644696491777519e-07,0.4302924
Atp8a1,2.510035998373695e-07,0.88685125
Gm21002,2.093736425797697e-07,1.2842665
S100g,3.1004052705818893e-07,3.1362667
Hnrnpk,2.658085278943094e-07,0.28530043
mt-Atp8,3.0149992483946003e-07,0.84668607
Ahsa2,3.092732089297605e-07,0.4973802
